Op,Reuse Key,msgBytes,adBytes,Cycles,Throughput,fresh rand. bits,rand. bits per byte of data
Enc,False,0,16,156,0.103,40000,2500.0
Enc,False,0,64,243,0.263,64000,1000.0
Enc,False,0,256,591,0.433,160000,625.0
Enc,False,0,512,1055,0.485,288000,562.5
Enc,False,0,1536,2911,0.528,800000,520.833
Enc,False,0,long,464,0.552,128000,500.0
Enc,False,16,0,131,0.122,32000,2000.0
Enc,False,64,0,218,0.294,56000,875.0
Enc,False,256,0,566,0.452,152000,593.75
Enc,False,512,0,1030,0.497,280000,546.875
Enc,False,1536,0,2886,0.532,792000,515.625
Enc,False,long,0,464,0.552,128000,500.0
Enc,False,16,16,185,0.173,48000,1500.0
Enc,False,64,64,359,0.357,96000,750.0
Enc,False,256,256,1055,0.485,288000,562.5
Enc,False,512,512,1983,0.516,544000,531.25
Enc,False,1536,1536,5695,0.539,1568000,510.417
Enc,False,long,long,928,0.552,256000,500.0
Dec,False,0,16,157,0.102,40000,2500.0
Dec,False,0,64,244,0.262,64000,1000.0
Dec,False,0,256,592,0.432,160000,625.0
Dec,False,0,512,1056,0.485,288000,562.5
Dec,False,0,1536,2912,0.527,800000,520.833
Dec,False,0,long,464,0.552,128000,500.0
Dec,False,16,0,132,0.121,32000,2000.0
Dec,False,64,0,219,0.292,56000,875.0
Dec,False,256,0,567,0.451,152000,593.75
Dec,False,512,0,1031,0.497,280000,546.875
Dec,False,1536,0,2887,0.532,792000,515.625
Dec,False,long,0,464,0.552,128000,500.0
Dec,False,16,16,186,0.172,48000,1500.0
Dec,False,64,64,360,0.356,96000,750.0
Dec,False,256,256,1056,0.485,288000,562.5
Dec,False,512,512,1984,0.516,544000,531.25
Dec,False,1536,1536,5696,0.539,1568000,510.417
Dec,False,long,long,928,0.552,256000,500.0
Hash,False,16,0,279,0.057,83200,5200.0
Hash,False,64,0,513,0.125,154240,2410.0
Hash,False,256,0,1449,0.177,438400,1712.5
Hash,False,512,0,2697,0.19,817280,1596.25
Hash,False,1536,0,7689,0.2,2332800,1518.75
Hash,False,long,0,1248,0.205,378880,1480.0
