Op,Reuse Key,msgBytes,adBytes,Cycles,Throughput,fresh rand. bits,rand. bits per byte of data
Enc,False,0,16,156,0.103,120000,7500.0
Enc,False,0,64,243,0.263,192000,3000.0
Enc,False,0,256,591,0.433,480000,1875.0
Enc,False,0,512,1055,0.485,864000,1687.5
Enc,False,0,1536,2911,0.528,2400000,1562.5
Enc,False,0,long,464,0.552,384000,1500.0
Enc,False,16,0,131,0.122,96000,6000.0
Enc,False,64,0,218,0.294,168000,2625.0
Enc,False,256,0,566,0.452,456000,1781.25
Enc,False,512,0,1030,0.497,840000,1640.625
Enc,False,1536,0,2886,0.532,2376000,1546.875
Enc,False,long,0,464,0.552,384000,1500.0
Enc,False,16,16,185,0.173,144000,4500.0
Enc,False,64,64,359,0.357,288000,2250.0
Enc,False,256,256,1055,0.485,864000,1687.5
Enc,False,512,512,1983,0.516,1632000,1593.75
Enc,False,1536,1536,5695,0.539,4704000,1531.25
Enc,False,long,long,928,0.552,768000,1500.0
Dec,False,0,16,157,0.102,120000,7500.0
Dec,False,0,64,244,0.262,192000,3000.0
Dec,False,0,256,592,0.432,480000,1875.0
Dec,False,0,512,1056,0.485,864000,1687.5
Dec,False,0,1536,2912,0.527,2400000,1562.5
Dec,False,0,long,464,0.552,384000,1500.0
Dec,False,16,0,132,0.121,96000,6000.0
Dec,False,64,0,219,0.292,168000,2625.0
Dec,False,256,0,567,0.451,456000,1781.25
Dec,False,512,0,1031,0.497,840000,1640.625
Dec,False,1536,0,2887,0.532,2376000,1546.875
Dec,False,long,0,464,0.552,384000,1500.0
Dec,False,16,16,186,0.172,144000,4500.0
Dec,False,64,64,360,0.356,288000,2250.0
Dec,False,256,256,1056,0.485,864000,1687.5
Dec,False,512,512,1984,0.516,1632000,1593.75
Dec,False,1536,1536,5696,0.539,4704000,1531.25
Dec,False,long,long,928,0.552,768000,1500.0
Hash,False,16,0,279,0.057,249600,15600.0
Hash,False,64,0,513,0.125,462720,7230.0
Hash,False,256,0,1449,0.177,1315200,5137.5
Hash,False,512,0,2697,0.19,2451840,4788.75
Hash,False,1536,0,7689,0.2,6998400,4556.25
Hash,False,long,0,1248,0.205,1136640,4440.0
