Op,Reuse Key,msgBytes,adBytes,Cycles,Throughput,fresh rand. bits,rand. bits per byte of data
Enc,False,0,16,156,0.10256410256410256,299520,18720.0
Enc,False,0,64,243,0.26337448559670784,466560,7290.0
Enc,False,0,128,359,0.3565459610027855,689280,5385.0
Enc,False,0,1536,2911,0.5276537272414977,5589120,3638.75
Enc,False,0,long,116,0.5517241379310345,222720,3480.0
Enc,False,16,0,131,0.12213740458015267,251520,15720.0
Enc,False,64,0,218,0.29357798165137616,418560,6540.0
Enc,False,128,0,334,0.38323353293413176,641280,5010.0
Enc,False,1536,0,2886,0.5322245322245323,5541120,3607.5
Enc,False,long,0,116,0.5517241379310345,222720,3480.0
Enc,False,16,16,185,0.17297297297297298,355200,11100.0
Enc,False,64,64,359,0.3565459610027855,689280,5385.0
Enc,False,128,128,591,0.43316412859560066,1134720,4432.5
Enc,False,1536,1536,5695,0.5394205443371378,10934400,3559.375
Enc,False,long,long,232,0.5517241379310345,445440,3480.0
Enc,True,0,16,153,0.10457516339869281,293760,18360.0
Enc,True,0,64,240,0.26666666666666666,460800,7200.0
Enc,True,0,128,356,0.3595505617977528,683520,5340.0
Enc,True,0,1536,2908,0.5281980742778541,5583360,3635.0
Enc,True,0,long,116,0.5517241379310345,222720,3480.0
Enc,True,16,0,128,0.125,245760,15360.0
Enc,True,64,0,215,0.29767441860465116,412800,6450.0
Enc,True,128,0,331,0.3867069486404834,635520,4965.0
Enc,True,1536,0,2883,0.5327783558792925,5535360,3603.75
Enc,True,long,0,116,0.5517241379310345,222720,3480.0
Enc,True,16,16,182,0.17582417582417584,349440,10920.0
Enc,True,64,64,356,0.3595505617977528,683520,5340.0
Enc,True,128,128,588,0.43537414965986393,1128960,4410.0
Enc,True,1536,1536,5692,0.5397048489107519,10928640,3557.5
Enc,True,long,long,232,0.5517241379310345,445440,3480.0
Dec,False,0,16,157,0.10191082802547771,301440,18840.0
Dec,False,0,64,244,0.26229508196721313,468480,7320.0
Dec,False,0,128,360,0.35555555555555557,691200,5400.0
Dec,False,0,1536,2912,0.5274725274725275,5591040,3640.0
Dec,False,0,long,116,0.5517241379310345,222720,3480.0
Dec,False,16,0,132,0.12121212121212122,253440,15840.0
Dec,False,64,0,219,0.2922374429223744,420480,6570.0
Dec,False,128,0,335,0.382089552238806,643200,5025.0
Dec,False,1536,0,2887,0.5320401801177693,5543040,3608.75
Dec,False,long,0,116,0.5517241379310345,222720,3480.0
Dec,False,16,16,186,0.17204301075268819,357120,11160.0
Dec,False,64,64,360,0.35555555555555557,691200,5400.0
Dec,False,128,128,592,0.43243243243243246,1136640,4440.0
Dec,False,1536,1536,5696,0.5393258426966292,10936320,3560.0
Dec,False,long,long,232,0.5517241379310345,445440,3480.0
Dec,True,0,16,154,0.1038961038961039,295680,18480.0
Dec,True,0,64,241,0.26556016597510373,462720,7230.0
Dec,True,0,128,357,0.3585434173669468,685440,5355.0
Dec,True,0,1536,2909,0.5280165005156411,5585280,3636.25
Dec,True,0,long,116,0.5517241379310345,222720,3480.0
Dec,True,16,0,129,0.12403100775193798,247680,15480.0
Dec,True,64,0,216,0.2962962962962963,414720,6480.0
Dec,True,128,0,332,0.3855421686746988,637440,4980.0
Dec,True,1536,0,2884,0.5325936199722607,5537280,3605.0
Dec,True,long,0,116,0.5517241379310345,222720,3480.0
Dec,True,16,16,183,0.17486338797814208,351360,10980.0
Dec,True,64,64,357,0.3585434173669468,685440,5355.0
Dec,True,128,128,589,0.43463497453310695,1130880,4417.5
Dec,True,1536,1536,5693,0.5396100474266643,10930560,3558.125
Dec,True,long,long,232,0.5517241379310345,445440,3480.0
Hash,False,16,0,279,0.05734767025089606,535680,33480.0
Hash,False,64,0,513,0.12475633528265107,984960,15390.0
Hash,False,128,0,825,0.15515151515151515,1584000,12375.0
Hash,False,1536,0,7689,0.1997658993367148,14762880,9611.25
Hash,False,long,0,312,0.20512820512820512,599040,9360.0
