Op,Reuse Key,msgBytes,adBytes,Cycles,Throughput,fresh rand. bits,rand. bits per byte of data
Enc,False,0,16,163,0.09815950920245399,52160,3260.0
Enc,False,0,32,205,0.15609756097560976,65600,2050.0
Enc,False,0,64,289,0.22145328719723184,92480,1445.0
Enc,False,0,64,289,0.22145328719723184,92480,1445.0
Enc,False,0,1536,4153,0.36985311822778716,1328960,865.2083333333334
Enc,False,0,long,84,0.38095238095238093,26880,840.0
Enc,False,16,0,144,0.1111111111111111,46080,2880.0
Enc,False,32,0,186,0.17204301075268819,59520,1860.0
Enc,False,64,0,270,0.23703703703703705,86400,1350.0
Enc,False,64,0,270,0.23703703703703705,86400,1350.0
Enc,False,1536,0,4134,0.37155297532656023,1322880,861.25
Enc,False,long,0,84,0.38095238095238093,26880,840.0
Enc,False,16,16,205,0.15609756097560976,65600,2050.0
Enc,False,32,32,289,0.22145328719723184,92480,1445.0
Enc,False,64,64,457,0.2800875273522976,146240,1142.5
Enc,False,64,64,457,0.2800875273522976,146240,1142.5
Enc,False,1536,1536,8185,0.37532070861331707,2619200,852.6041666666666
Enc,False,long,long,168,0.38095238095238093,53760,840.0
Enc,True,0,16,160,0.1,51200,3200.0
Enc,True,0,32,202,0.15841584158415842,64640,2020.0
Enc,True,0,64,286,0.22377622377622378,91520,1430.0
Enc,True,0,64,286,0.22377622377622378,91520,1430.0
Enc,True,0,1536,4150,0.37012048192771085,1328000,864.5833333333334
Enc,True,0,long,84,0.38095238095238093,26880,840.0
Enc,True,16,0,141,0.11347517730496454,45120,2820.0
Enc,True,32,0,183,0.17486338797814208,58560,1830.0
Enc,True,64,0,267,0.2397003745318352,85440,1335.0
Enc,True,64,0,267,0.2397003745318352,85440,1335.0
Enc,True,1536,0,4131,0.3718228031953522,1321920,860.625
Enc,True,long,0,84,0.38095238095238093,26880,840.0
Enc,True,16,16,202,0.15841584158415842,64640,2020.0
Enc,True,32,32,286,0.22377622377622378,91520,1430.0
Enc,True,64,64,454,0.28193832599118945,145280,1135.0
Enc,True,64,64,454,0.28193832599118945,145280,1135.0
Enc,True,1536,1536,8182,0.37545832314837446,2618240,852.2916666666666
Enc,True,long,long,168,0.38095238095238093,53760,840.0
Dec,False,0,16,164,0.0975609756097561,52480,3280.0
Dec,False,0,32,206,0.1553398058252427,65920,2060.0
Dec,False,0,64,290,0.2206896551724138,92800,1450.0
Dec,False,0,64,290,0.2206896551724138,92800,1450.0
Dec,False,0,1536,4154,0.3697640828117477,1329280,865.4166666666666
Dec,False,0,long,84,0.38095238095238093,26880,840.0
Dec,False,16,0,145,0.1103448275862069,46400,2900.0
Dec,False,32,0,187,0.1711229946524064,59840,1870.0
Dec,False,64,0,271,0.23616236162361623,86720,1355.0
Dec,False,64,0,271,0.23616236162361623,86720,1355.0
Dec,False,1536,0,4135,0.37146311970979445,1323200,861.4583333333334
Dec,False,long,0,84,0.38095238095238093,26880,840.0
Dec,False,16,16,206,0.1553398058252427,65920,2060.0
Dec,False,32,32,290,0.2206896551724138,92800,1450.0
Dec,False,64,64,458,0.2794759825327511,146560,1145.0
Dec,False,64,64,458,0.2794759825327511,146560,1145.0
Dec,False,1536,1536,8186,0.37527485951624723,2619520,852.7083333333334
Dec,False,long,long,168,0.38095238095238093,53760,840.0
Dec,True,0,16,161,0.09937888198757763,51520,3220.0
Dec,True,0,32,203,0.15763546798029557,64960,2030.0
Dec,True,0,64,287,0.2229965156794425,91840,1435.0
Dec,True,0,64,287,0.2229965156794425,91840,1435.0
Dec,True,0,1536,4151,0.3700313177547579,1328320,864.7916666666666
Dec,True,0,long,84,0.38095238095238093,26880,840.0
Dec,True,16,0,142,0.11267605633802817,45440,2840.0
Dec,True,32,0,184,0.17391304347826086,58880,1840.0
Dec,True,64,0,268,0.23880597014925373,85760,1340.0
Dec,True,64,0,268,0.23880597014925373,85760,1340.0
Dec,True,1536,0,4132,0.3717328170377541,1322240,860.8333333333334
Dec,True,long,0,84,0.38095238095238093,26880,840.0
Dec,True,16,16,203,0.15763546798029557,64960,2030.0
Dec,True,32,32,287,0.2229965156794425,91840,1435.0
Dec,True,64,64,455,0.2813186813186813,145600,1137.5
Dec,True,64,64,455,0.2813186813186813,145600,1137.5
Dec,True,1536,1536,8183,0.3754124404252719,2618560,852.3958333333334
Dec,True,long,long,168,0.38095238095238093,53760,840.0
Hash,False,16,0,279,0.05734767025089606,89280,5580.0
Hash,False,32,0,357,0.0896358543417367,114240,3570.0
Hash,False,64,0,513,0.12475633528265107,164160,2565.0
Hash,False,64,0,513,0.12475633528265107,164160,2565.0
Hash,False,1536,0,7689,0.1997658993367148,2460480,1601.875
Hash,False,long,0,156,0.20512820512820512,49920,1560.0
