Op,Reuse Key,msgBytes,adBytes,Cycles,Throughput,fresh rand. bits,rand. bits per byte of data
Enc,False,0,16,163,0.09815950920245399,156480,9780.0
Enc,False,0,32,205,0.15609756097560976,196800,6150.0
Enc,False,0,64,289,0.22145328719723184,277440,4335.0
Enc,False,0,64,289,0.22145328719723184,277440,4335.0
Enc,False,0,1536,4153,0.36985311822778716,3986880,2595.625
Enc,False,0,long,84,0.38095238095238093,80640,2520.0
Enc,False,16,0,144,0.1111111111111111,138240,8640.0
Enc,False,32,0,186,0.17204301075268819,178560,5580.0
Enc,False,64,0,270,0.23703703703703705,259200,4050.0
Enc,False,64,0,270,0.23703703703703705,259200,4050.0
Enc,False,1536,0,4134,0.37155297532656023,3968640,2583.75
Enc,False,long,0,84,0.38095238095238093,80640,2520.0
Enc,False,16,16,205,0.15609756097560976,196800,6150.0
Enc,False,32,32,289,0.22145328719723184,277440,4335.0
Enc,False,64,64,457,0.2800875273522976,438720,3427.5
Enc,False,64,64,457,0.2800875273522976,438720,3427.5
Enc,False,1536,1536,8185,0.37532070861331707,7857600,2557.8125
Enc,False,long,long,168,0.38095238095238093,161280,2520.0
Enc,True,0,16,160,0.1,153600,9600.0
Enc,True,0,32,202,0.15841584158415842,193920,6060.0
Enc,True,0,64,286,0.22377622377622378,274560,4290.0
Enc,True,0,64,286,0.22377622377622378,274560,4290.0
Enc,True,0,1536,4150,0.37012048192771085,3984000,2593.75
Enc,True,0,long,84,0.38095238095238093,80640,2520.0
Enc,True,16,0,141,0.11347517730496454,135360,8460.0
Enc,True,32,0,183,0.17486338797814208,175680,5490.0
Enc,True,64,0,267,0.2397003745318352,256320,4005.0
Enc,True,64,0,267,0.2397003745318352,256320,4005.0
Enc,True,1536,0,4131,0.3718228031953522,3965760,2581.875
Enc,True,long,0,84,0.38095238095238093,80640,2520.0
Enc,True,16,16,202,0.15841584158415842,193920,6060.0
Enc,True,32,32,286,0.22377622377622378,274560,4290.0
Enc,True,64,64,454,0.28193832599118945,435840,3405.0
Enc,True,64,64,454,0.28193832599118945,435840,3405.0
Enc,True,1536,1536,8182,0.37545832314837446,7854720,2556.875
Enc,True,long,long,168,0.38095238095238093,161280,2520.0
Dec,False,0,16,164,0.0975609756097561,157440,9840.0
Dec,False,0,32,206,0.1553398058252427,197760,6180.0
Dec,False,0,64,290,0.2206896551724138,278400,4350.0
Dec,False,0,64,290,0.2206896551724138,278400,4350.0
Dec,False,0,1536,4154,0.3697640828117477,3987840,2596.25
Dec,False,0,long,84,0.38095238095238093,80640,2520.0
Dec,False,16,0,145,0.1103448275862069,139200,8700.0
Dec,False,32,0,187,0.1711229946524064,179520,5610.0
Dec,False,64,0,271,0.23616236162361623,260160,4065.0
Dec,False,64,0,271,0.23616236162361623,260160,4065.0
Dec,False,1536,0,4135,0.37146311970979445,3969600,2584.375
Dec,False,long,0,84,0.38095238095238093,80640,2520.0
Dec,False,16,16,206,0.1553398058252427,197760,6180.0
Dec,False,32,32,290,0.2206896551724138,278400,4350.0
Dec,False,64,64,458,0.2794759825327511,439680,3435.0
Dec,False,64,64,458,0.2794759825327511,439680,3435.0
Dec,False,1536,1536,8186,0.37527485951624723,7858560,2558.125
Dec,False,long,long,168,0.38095238095238093,161280,2520.0
Dec,True,0,16,161,0.09937888198757763,154560,9660.0
Dec,True,0,32,203,0.15763546798029557,194880,6090.0
Dec,True,0,64,287,0.2229965156794425,275520,4305.0
Dec,True,0,64,287,0.2229965156794425,275520,4305.0
Dec,True,0,1536,4151,0.3700313177547579,3984960,2594.375
Dec,True,0,long,84,0.38095238095238093,80640,2520.0
Dec,True,16,0,142,0.11267605633802817,136320,8520.0
Dec,True,32,0,184,0.17391304347826086,176640,5520.0
Dec,True,64,0,268,0.23880597014925373,257280,4020.0
Dec,True,64,0,268,0.23880597014925373,257280,4020.0
Dec,True,1536,0,4132,0.3717328170377541,3966720,2582.5
Dec,True,long,0,84,0.38095238095238093,80640,2520.0
Dec,True,16,16,203,0.15763546798029557,194880,6090.0
Dec,True,32,32,287,0.2229965156794425,275520,4305.0
Dec,True,64,64,455,0.2813186813186813,436800,3412.5
Dec,True,64,64,455,0.2813186813186813,436800,3412.5
Dec,True,1536,1536,8183,0.3754124404252719,7855680,2557.1875
Dec,True,long,long,168,0.38095238095238093,161280,2520.0
Hash,False,16,0,279,0.05734767025089606,267840,16740.0
Hash,False,32,0,357,0.0896358543417367,342720,10710.0
Hash,False,64,0,513,0.12475633528265107,492480,7695.0
Hash,False,64,0,513,0.12475633528265107,492480,7695.0
Hash,False,1536,0,7689,0.1997658993367148,7381440,4805.625
Hash,False,long,0,156,0.20512820512820512,149760,4680.0
