Op,Reuse Key,msgBytes,adBytes,Cycles,Throughput,fresh rand. bits,rand. bits per byte of data
Enc,False,0,16,2041,0.008,561400,35087.5
Enc,False,0,64,2857,0.022,785400,12271.875
Enc,False,0,80,3265,0.025,897400,11217.5
Enc,False,0,1536,33049,0.046,9073400,5907.161
Enc,False,0,long,408,0.039,112000,7000.0
Enc,False,16,0,1633,0.01,449400,28087.5
Enc,False,64,0,4066,0.016,1121400,17521.875
Enc,False,80,0,4474,0.018,1233400,15417.5
Enc,False,1536,0,63269,0.024,17473400,11375.911
Enc,False,long,0,408,0.039,112000,7000.0
Enc,False,16,16,2041,0.016,561400,17543.75
Enc,False,64,64,5290,0.024,1457400,11385.938
Enc,False,80,80,6106,0.026,1681400,10508.75
Enc,False,1536,1536,94685,0.032,26097400,8495.247
Enc,False,long,long,816,0.039,224000,7000.0
Dec,False,0,16,2041,0.008,561400,35087.5
Dec,False,0,64,2857,0.022,785400,12271.875
Dec,False,0,80,3265,0.025,897400,11217.5
Dec,False,0,1536,33049,0.046,9073400,5907.161
Dec,False,0,long,408,0.039,112000,7000.0
Dec,False,16,0,1633,0.01,449400,28087.5
Dec,False,64,0,4066,0.016,1121400,17521.875
Dec,False,80,0,4474,0.018,1233400,15417.5
Dec,False,1536,0,63269,0.024,17473400,11375.911
Dec,False,long,0,408,0.039,112000,7000.0
Dec,False,16,16,2041,0.016,561400,17543.75
Dec,False,64,64,5290,0.024,1457400,11385.938
Dec,False,80,80,6106,0.026,1681400,10508.75
Dec,False,1536,1536,94685,0.032,26097400,8495.247
Dec,False,long,long,816,0.039,224000,7000.0
