Op,Reuse Key,msgBytes,adBytes,Cycles,Throughput,fresh rand. bits,rand. bits per byte of data
Enc,False,0,16,2041,0.007839294463498285,1714440,107152.5
Enc,False,0,64,2857,0.0224011200560028,2399880,37498.125
Enc,False,0,80,3265,0.02450229709035222,2742600,34282.5
Enc,False,0,160,4897,0.03267306514192363,4113480,25709.25
Enc,False,0,1536,33049,0.04647644406789918,27761160,18073.671875
Enc,False,0,long,1632,0.049019607843137254,1370880,17136.0
Enc,False,16,0,1633,0.009797917942437232,1371720,85732.5
Enc,False,64,0,4066,0.01574028529267093,3415440,53366.25
Enc,False,80,0,4474,0.017881090746535537,3758160,46977.0
Enc,False,160,0,7718,0.020730759264058048,6483120,40519.5
Enc,False,1536,0,63269,0.024277292196810445,53145960,34600.234375
Enc,False,long,0,3244,0.02466091245376079,2724960,34062.0
Enc,False,16,16,2041,0.01567858892699657,1714440,53576.25
Enc,False,64,64,5290,0.024196597353497166,4443600,34715.625
Enc,False,80,80,6106,0.026203734032099576,5129040,32056.5
Enc,False,160,160,10982,0.0291385904206884,9224880,28827.75
Enc,False,1536,1536,94685,0.03244442097481122,79535400,25890.4296875
Enc,False,long,long,4876,0.03281378178835111,4095840,25599.0
Dec,False,0,16,2041,0.007839294463498285,1714440,107152.5
Dec,False,0,64,2857,0.0224011200560028,2399880,37498.125
Dec,False,0,80,3265,0.02450229709035222,2742600,34282.5
Dec,False,0,160,4897,0.03267306514192363,4113480,25709.25
Dec,False,0,1536,33049,0.04647644406789918,27761160,18073.671875
Dec,False,0,long,1632,0.049019607843137254,1370880,17136.0
Dec,False,16,0,1633,0.009797917942437232,1371720,85732.5
Dec,False,64,0,4066,0.01574028529267093,3415440,53366.25
Dec,False,80,0,4474,0.017881090746535537,3758160,46977.0
Dec,False,160,0,7718,0.020730759264058048,6483120,40519.5
Dec,False,1536,0,63269,0.024277292196810445,53145960,34600.234375
Dec,False,long,0,3244,0.02466091245376079,2724960,34062.0
Dec,False,16,16,2041,0.01567858892699657,1714440,53576.25
Dec,False,64,64,5290,0.024196597353497166,4443600,34715.625
Dec,False,80,80,6106,0.026203734032099576,5129040,32056.5
Dec,False,160,160,10982,0.0291385904206884,9224880,28827.75
Dec,False,1536,1536,94685,0.03244442097481122,79535400,25890.4296875
Dec,False,long,long,4876,0.03281378178835111,4095840,25599.0
