Op,Reuse Key,msgBytes,adBytes,Cycles,Throughput,fresh rand. bits,rand. bits per byte of data
Enc,False,0,16,2041,0.007839294463498285,3428880,214305.0
Enc,False,0,64,2857,0.0224011200560028,4799760,74996.25
Enc,False,0,80,3265,0.02450229709035222,5485200,68565.0
Enc,False,0,160,4897,0.03267306514192363,8226960,51418.5
Enc,False,0,1536,33049,0.04647644406789918,55522320,36147.34375
Enc,False,0,long,1632,0.049019607843137254,2741760,34272.0
Enc,False,16,0,1633,0.009797917942437232,2743440,171465.0
Enc,False,64,0,4066,0.01574028529267093,6830880,106732.5
Enc,False,80,0,4474,0.017881090746535537,7516320,93954.0
Enc,False,160,0,7718,0.020730759264058048,12966240,81039.0
Enc,False,1536,0,63269,0.024277292196810445,106291920,69200.46875
Enc,False,long,0,3244,0.02466091245376079,5449920,68124.0
Enc,False,16,16,2041,0.01567858892699657,3428880,107152.5
Enc,False,64,64,5290,0.024196597353497166,8887200,69431.25
Enc,False,80,80,6106,0.026203734032099576,10258080,64113.0
Enc,False,160,160,10982,0.0291385904206884,18449760,57655.5
Enc,False,1536,1536,94685,0.03244442097481122,159070800,51780.859375
Enc,False,long,long,4876,0.03281378178835111,8191680,51198.0
Dec,False,0,16,2041,0.007839294463498285,3428880,214305.0
Dec,False,0,64,2857,0.0224011200560028,4799760,74996.25
Dec,False,0,80,3265,0.02450229709035222,5485200,68565.0
Dec,False,0,160,4897,0.03267306514192363,8226960,51418.5
Dec,False,0,1536,33049,0.04647644406789918,55522320,36147.34375
Dec,False,0,long,1632,0.049019607843137254,2741760,34272.0
Dec,False,16,0,1633,0.009797917942437232,2743440,171465.0
Dec,False,64,0,4066,0.01574028529267093,6830880,106732.5
Dec,False,80,0,4474,0.017881090746535537,7516320,93954.0
Dec,False,160,0,7718,0.020730759264058048,12966240,81039.0
Dec,False,1536,0,63269,0.024277292196810445,106291920,69200.46875
Dec,False,long,0,3244,0.02466091245376079,5449920,68124.0
Dec,False,16,16,2041,0.01567858892699657,3428880,107152.5
Dec,False,64,64,5290,0.024196597353497166,8887200,69431.25
Dec,False,80,80,6106,0.026203734032099576,10258080,64113.0
Dec,False,160,160,10982,0.0291385904206884,18449760,57655.5
Dec,False,1536,1536,94685,0.03244442097481122,159070800,51780.859375
Dec,False,long,long,4876,0.03281378178835111,8191680,51198.0
