Op,Reuse Key,msgBytes,adBytes,Cycles,Throughput
Enc,False,0,16,110,0.145
Enc,False,0,64,257,0.249
Enc,False,0,128,453,0.283
Enc,False,0,1536,4765,0.322
Enc,False,0,long,196,0.327
Enc,False,16,0,153,0.105
Enc,False,64,0,294,0.218
Enc,False,128,0,482,0.266
Enc,False,1536,0,4618,0.333
Enc,False,long,0,188,0.34
Enc,False,16,16,157,0.204
Enc,False,64,64,445,0.288
Enc,False,128,128,829,0.309
Enc,False,1536,1536,9277,0.331
Enc,False,long,long,384,0.333
Dec,False,0,16,111,0.144
Dec,False,0,64,258,0.248
Dec,False,0,128,454,0.282
Dec,False,0,1536,4766,0.322
Dec,False,0,long,196,0.327
Dec,False,16,0,154,0.104
Dec,False,64,0,295,0.217
Dec,False,128,0,483,0.265
Dec,False,1536,0,4619,0.333
Dec,False,long,0,188,0.34
Dec,False,16,16,158,0.203
Dec,False,64,64,446,0.287
Dec,False,128,128,830,0.308
Dec,False,1536,1536,9278,0.331
Dec,False,long,long,384,0.333
