Op,Reuse Key,msgBytes,adBytes,Cycles,Throughput,fresh rand. bits,rand. bits per byte of data
Enc,False,0,16,439,0.03644646924829157,84288,5268.0
Enc,False,0,64,1078,0.059369202226345084,206976,3234.0
Enc,False,0,128,1930,0.06632124352331606,370560,2895.0
Enc,False,0,1536,20674,0.0742962174712199,3969408,2584.25
Enc,False,0,long,852,0.07511737089201878,163584,2556.0
Enc,False,16,0,646,0.02476780185758514,124032,7752.0
Enc,False,64,0,1279,0.05003909304143862,245568,3837.0
Enc,False,128,0,2123,0.06029203956665097,407616,3184.5
Enc,False,1536,0,20691,0.07423517471364362,3972672,2586.375
Enc,False,long,0,844,0.07582938388625593,162048,2532.0
Enc,False,16,16,650,0.04923076923076923,124800,3900.0
Enc,False,64,64,1922,0.06659729448491156,369024,2883.0
Enc,False,128,128,3618,0.07075732448866777,694656,2713.5
Enc,False,1536,1536,40930,0.07505497190324945,7858560,2558.125
Enc,False,long,long,1696,0.07547169811320754,325632,2544.0
Dec,False,0,16,441,0.036281179138321996,84672,5292.0
Dec,False,0,64,1080,0.05925925925925926,207360,3240.0
Dec,False,0,128,1932,0.06625258799171843,370944,2898.0
Dec,False,0,1536,20676,0.0742890307603018,3969792,2584.5
Dec,False,0,long,852,0.07511737089201878,163584,2556.0
Dec,False,16,0,648,0.024691358024691357,124416,7776.0
Dec,False,64,0,1281,0.04996096799375488,245952,3843.0
Dec,False,128,0,2125,0.06023529411764706,408000,3187.5
Dec,False,1536,0,20693,0.07422799980669792,3973056,2586.625
Dec,False,long,0,844,0.07582938388625593,162048,2532.0
Dec,False,16,16,652,0.049079754601226995,125184,3912.0
Dec,False,64,64,1924,0.06652806652806653,369408,2886.0
Dec,False,128,128,3620,0.0707182320441989,695040,2715.0
Dec,False,1536,1536,40932,0.07505130460275579,7858944,2558.25
Dec,False,long,long,1696,0.07547169811320754,325632,2544.0
