Op,Reuse Key,msgBytes,adBytes,Cycles,Throughput,fresh rand. bits,rand. bits per byte of data
Enc,False,0,16,439,0.03644646924829157,475776,29736.0
Enc,False,0,64,1078,0.059369202226345084,1184256,18504.0
Enc,False,0,128,1930,0.06632124352331606,2128896,16632.0
Enc,False,0,1536,20674,0.0742962174712199,22910976,14916.0
Enc,False,0,long,852,0.07511737089201878,944640,14760.0
Enc,False,16,0,646,0.02476780185758514,711936,44496.0
Enc,False,64,0,1280,0.05,1420416,22194.0
Enc,False,128,0,2123,0.06029203956665097,2365056,18477.0
Enc,False,1536,0,20691,0.07423517471364362,23147136,15069.75
Enc,False,long,0,843,0.07591933570581258,944640,14760.0
Enc,False,16,16,650,0.04923076923076923,711936,22248.0
Enc,False,64,64,1922,0.06659729448491156,2128896,16632.0
Enc,False,128,128,3618,0.07075732448866777,4018176,15696.0
Enc,False,1536,1536,40930,0.07505497190324945,45582336,14838.0
Enc,False,long,long,1696,0.07547169811320754,1889280,14760.0
Dec,False,0,16,440,0.03636363636363636,475776,29736.0
Dec,False,0,64,1079,0.05931417979610751,1184256,18504.0
Dec,False,0,128,1931,0.06628689798032107,2128896,16632.0
Dec,False,0,1536,20675,0.07429262394195889,22910976,14916.0
Dec,False,0,long,852,0.07511737089201878,944640,14760.0
Dec,False,16,0,647,0.02472952086553323,711936,44496.0
Dec,False,64,0,1280,0.05,1420416,22194.0
Dec,False,128,0,2124,0.060263653483992465,2365056,18477.0
Dec,False,1536,0,20692,0.07423158708679684,23147136,15069.75
Dec,False,long,0,844,0.07582938388625593,944640,14760.0
Dec,False,16,16,651,0.04915514592933948,711936,22248.0
Dec,False,64,64,1923,0.06656266250650027,2128896,16632.0
Dec,False,128,128,3619,0.07073777286543244,4018176,15696.0
Dec,False,1536,1536,40931,0.07505313820820406,45582336,14838.0
Dec,False,long,long,1696,0.07547169811320754,1889280,14760.0
