#
# Shared version of pdi.txt split into 3 shares
#
#### Authenticated Decryption
#### MsgID=19, KeyID=19, AD Size=512, CT Size=0
# Instruction: Opcode=Activate Key
INS = 700000000000000000000000
# Instruction: Opcode=Authenticated Decryption
INS = 300000000000000000000000
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=16 bytes
HDR = D20000100000000000000000
DAT = D155D6502B7F1ED71999C36EA80A2A2EF541C48E495D4F9AF537B566CBD0487B2C427C60413F0CDC21512792B05D384A
# Info :               Ciphertext, EOI=0 EOT=1, Last=0, Length=0 bytes
HDR = 520000000000000000000000
# Info :          Associated Data, EOI=1 EOT=1, Last=0, Length=512 bytes
HDR = 160002000000000000000000
DAT = 2C9E65A3577412987605C9F540FF399C96885EC8BD2F9FD69AC12BB6E61B8722D3E016888DFAC213DD21438E81F36208F2F429658E664B5B9F192A9A8974EB52CC6DCB253910EDDECD0E916CFF93142A082294FCCB5EAEB9246D1A1A3775C2D2830D18FC5F0E03777A448473CAB651055826F875C253DEFED0E805A5A00808437A7D1844D14E77BF15E1315F79D76FB4FEB222191F8F2740FF011DCA7C9CBB51F87B79B31701FE2209F95FB9E5B2BEDAED87EA12268194DDBE8587A415D059112867B6586540FEEB09F4307FBA3DF81B53113ED1C2DC331FBC211996B7D917148760E0A51114903E374D69B63BCB772109D2977BFE65B5D028836A6FD72585D72A976F5AB082E20D5EB474536EA9CDAC9EEBFE549377ED1B69C9765A4EF38C182F2BA5B3F68D726D00A64291AA8F7CD2168377FD91FA44A2883E92D2ABB0E25DA7117DECB73343D81AA62080A44C95CB5E22962ADEBCB76F59D73125739541BC12E130ADA77214E0DF9FBF4558BAEC7DF83B6AEC3576BC430A4CEC2019E576AF
DAT = 0007656C1DF429C5048AB93D80543651F2247EE1CD0B40EE7A82D5F456E60EA217BAC278AB791570E980D76A41921F0CA10F6CDAAFA979217DC712BC58DD00F2A75238516377169B383373B89F4472667B2939151F973E7397761F1DE8FFBC0D9A29AA2DC20E4E9D7F690E9FF81C8F8784A61D1F89E349DF59D5DC39478716BF9825416CEB9671D7A0C30CEEAEE71B961E36C85D62D5D84EF2EF89DBB09B7DF2BACAF8FBE78BCFE8C4531A818FB9795CC0FCBAB48D46F692D2B208AAB04678A23CFD25504B962E42FC7881DED7CCB58D3E03A56C0DB1EB4CC790EA0E41B6552927F30CF3B49FD9468889DB9DE0C5C78C4DEC80392EA9828161996492F7BB876EFFCC3A3E825A896C61B7E806CA6A4B2C22E82CBCF4D2B0A28AACF7D13F63BEB7EAC3D9D844DA4B1CC5B2FCFFC878C5BFADF09F15372472443AFB19AD8BBC90C121F788855F556762E2A1714BEB2453D397596F824D81935BB498B31B48CC991B186B04E8995A17A93378C8E6E79241A6DB01DA2D50B6FFC3C9A8F450037EB489
DAT = E6D5B005E1239EB900431DA588BF8BDFEE560C65B1DEF3F9177D135542F26601519897396D75061D47C4FA429589BA7B4257F16558AAC9544580827E05E08596CFC5F78C04FC0BC34627FF24B3E9CBCB6395CA22204D045969F3B81A47093FA546AB117717FE741E4006916487922D275186D00FE83EB382E2560338D676A92BDB9432F7FA5EF29E9CB2653D0DC42D9F1DAFE6B570DAA9B78977BFC2B896B7E80C21E6C0F9F9667CE845195D0F4CC9AE1352103937D79D4F648CF4BA8453B2AE50AB087EBCB2C2A3802299D79303FA5F1AC52630B24D092DD825E713AE427088DFDE051FE052162000C8FDDB5438AA8DD90DD3B1FFE7EC326A7284AAB68E8D062CE281B9BA9B05826B3F51269F5580DD0532F1F0E3EC2633802289519AB9A483E05767D88FA7173CE1A3A273D95653F1238B7827FDF354133AE6782A349B29A679A3E3C07ECADE77A40EA04637465D0B5282B9EC4C8B05B3EE9A29973AAD1AB4AFC99F69A308383616C5E0CDC93B15D52699BDE5629FAD568D9B20566AE3319B
DAT = 3CBAA18FE6DC807A83BAA8BD77EACE70B8761290F05E7CA50BADC97E96B7382BECD8FEA627867B916D4B61A896B28DBF90DA4F65AE04D0A375206E26755A526818BAC94D564704F9F62865AD6EEE245B563019DE463C5F30815B6E00949E62142BEB8FE168D8F2EC1737541E1A920F1F3BD244F1E7E815BF15257C40EB376FDEA08318F3FCB92C937B85980B2D5B0EDBBF79D5E4CBBC06AF8871FBEB465B9359882C8735B80233CABD070C9F5A3750BCB00FFB54011AC0811F2D2E5CA67DF30FE29854B32791BCA8C1F145EDA60F8A60EBC0400B9AF359F87CB3BF6B4CC397406EF56BB70BD43A38F408A4F2E0DF9E4DC06E41B0B8ED57D8C7AA78E6B1BEF7B2A80FD1B36780AB30F511535BBB618A511AC7930F18465374C23967DDAA76FD75BE04FB7F8BA3480150B6F6F44FD509FC0CFA087C5226FA8E4CEFEA6DEDF65D27BDC5462046E0DF57A08128A4EAB6C4B6DFC3298F268898E5B5469192E836CF5E22FAD627DF19B1ACFD34DCCFD6050CC344F002187761368C529D17CF96774E56
# Info :                      Tag, EOI=0 EOT=1, Last=1, Length=16 bytes
HDR = 830000100000000000000000
DAT = 236074F9A335C29BF697C79720AE5B2AB2976F87B0DA8E7B80F2FE3E429474EF7785AAD74DAAB2B3375F6DD1107617F1

#### Authenticated Decryption
#### MsgID=20, KeyID=20, AD Size=256, CT Size=256
# Instruction: Opcode=Activate Key
INS = 700000000000000000000000
# Instruction: Opcode=Authenticated Decryption
INS = 300000000000000000000000
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=16 bytes
HDR = D20000100000000000000000
DAT = 1952155377A5B5D16AB2BAF4925E4CE3F1DC28484643B302D5110C345FA16A7E1B46155BE8CE14533C14A3F4BEA3F49D
# Info :               Ciphertext, EOI=0 EOT=1, Last=0, Length=256 bytes
HDR = 520001000000000000000000
DAT = B68A497CF46E68710E845115EFD739D137D6A533B752FE476EB38F0AF04DA0F90D6B7AC00DCA27DA49F455F36CBA61DABA974983A6DC7440E6D871C37DC00CC6998599F77B37F974E43A3B4BAC0BE5ADCACA9E9F7F62AFB56D914D1C7CB528CEB1781A259BA78DD9FDD77FAFB1CDC93F1399CC7EECD59DD57CB1D42CB9C7764EB90AFF2CA3A84875266BC0B0677D00EAA3918A3D8EBA354E856C4C7C88B058D6A4615729617B362014468C1D6000FB98C53E127646AE967E3E6864D108732ECF03313EA79658F1D4CEE52921F70170FD4728307E220080A4D598E60BC84C972116B5A151934BD8AB571091BC6CCDA8B08B9653FE8410AF976BD7C9EE02DD99ED198834370D44B6068CD6EF2F1C560C527957E33C5E63B13234062C2224A0E5BA2D8E9C1E54411F7B263C33F97CE8EE8C9B6682BE668DAF4F1EE9E26F21D066B47F37A99504C8C9153E2A97ED4B91A037560A85AD1C4468C27E6D904AE0FBCE35DF3EE445E202ABD9F2F8694A1633628750922D79712C7775CA0D5C651E62F1B2
DAT = 21D4C98311EC2B319C2A3F636E95CBD9C0C556BF2B7C2977515A23CDE7A07DC24BC658CD701EDD46B0992A5F00E622F59885DC34D42DFC697E58CF26B31C1B1B53C0E17A893BC4FC56259D8A93A8142FECC2FB9129B26783EB254D3C4D05D91CADDF45AC686AA3AFE5F9D0B23F140BAC7BB2BE35FD9B6702EB42832526F88EA240DA805753A3CAB74AD231ACE569B419EB604389BD63581C12BE41DCB909110F3E8F3FFECAB8B8DBB24DBAC1C73899B4F5AE1618DBEEDEA74CF9621D863622F6EE499EDC3513A7B23D5CB3B6BB4C641BDBA9D63C144C5D9D74272CA65B07DF9619AB6A47B8B45054CA212C1E598E513EAA8AE7239ED6F86C0000B761321D0A71C2E615F37D518B10A4673B6E482A680B841A417FABB7D9FBCF0DC41A84FAC2D4A182E389185F774A017058EBA9EEE689A5655EAA278FEAF653416016C50CC957683C2E17295813E69B19EDE923510D6466F9499D2621FBB9E48584714157DBF7F6A1E9E07B14E48E3CF9E7444C54F8D641C0849E3CC7810DF95B7C0F7EDCDDEE
# Info :          Associated Data, EOI=1 EOT=1, Last=0, Length=256 bytes
HDR = 160001000000000000000000
DAT = FDF29A2843DB0B5B12A960C2A49F5241AB04CE84C99343C2F4D91735B2B368BCCB582AF39E29E4418B42AF3F0EE0F1B77FBEBCEF6DF77525F9DC78B6E2C9DB785AFF5233290578247647A1C096E7C006819035EEEDD8EE148877DBD4697C6084A96CF14CF0D8FFF0832771333B76636D62BAF17EB98AA704A607E4E05A024A0B148DA49D593A09C8B1DB253A7E956EC8ED13B3C2174E3098B228D54B58C412E37763CBCEB64CEAD5CE88A313D0525D1DA9BDEF0781C8A9F84428796B4780787EADEF666964352C2FF21E8A24B63B8FF4F5CD6EC0FFA6B3E2264B9E38397AA71C6621C0BFAB86F919CB4E3FEA6FC4DCC078460429DACE1AB37CC095732A21B94AAD75FB9B95B131C86ABF20E06CEF7FA03180E67089738A62FCC0EB1CE69E08966D47B0C2A22C45233FA7AD720C9243DB5D74389F99181675BC10A5BEB2EEFE74CDE29A7096D19CE008E5555322177BB4C7B5D9A837C8815DEE6BA681E77CB71FCE40C926964883401DE2AADB57E413B02135D9CDD7B0A756618E0D74F5D20C66
DAT = 1A9212F3EB615DA68328BC25EA847EC72138C87300812E0FABEEC82AD6536A61D7E8699F36CDB853F47712016D5A186A7320714448A5F8E0FAE3003A97C77D38E02A55F1D402DD1AD03AC25E41EA7E5B1A8AD5109331CCA9EF6E443FF0FEA3DFC1F5AE7C9B19D05C51529EB113D6C583F8461F450780F7297DAB169106225F10096775E50D8F9085B462E633CF4F19BA47B59117DA19AEDCB293413257D7033B726201D7305B2899F9F38FF2F06EA906E15563519EE419B1F43994C6E26E628D58FF553A375892B77B192C82DCED18BCA28147033551DFD73F3CF8C092E3E0209EC0E6FDDA1BEDEB2DEDB55BF974468A07417B9519E5CDF4AE1196075D2F8C7E49F33C367F17037887287C52A6F6E055C5F4683CC2B1EFC65E77E90B896EE8A5F25D8C13E1A2B5A7D5554331853D624E7F5840C751CFE72BF7C3FC215DF485C5FC0AC3D5411CA7A1C627591CD00C73ED667C5ABA2EBE667A675D1DBE344E9F1E74AF87FBF48BD931FAEFA6E5F2CA6C649DB65DEDFA7DF52BE53961AAD5CD0ADC
# Info :                      Tag, EOI=0 EOT=1, Last=1, Length=16 bytes
HDR = 830000100000000000000000
DAT = 3954BAFAC4EC44572A96E03233CB1DDDBFECA85D72B1862BAA8B8575448DF37054BF7B952DDCA69B0D9BB7E8E85EA498

#### Authenticated Decryption
#### MsgID=21, KeyID=21, AD Size=512, CT Size=512
# Instruction: Opcode=Activate Key
INS = 700000000000000000000000
# Instruction: Opcode=Authenticated Decryption
INS = 300000000000000000000000
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=16 bytes
HDR = D20000100000000000000000
DAT = E5807A21408495DD2156D60DDEDEF3F444C1B2D0A445F3C55BF0BEB2D642C9D7522FBCE80B2FAC2D9506379FDA82D2E0
# Info :               Ciphertext, EOI=0 EOT=1, Last=0, Length=512 bytes
HDR = 520002000000000000000000
DAT = EA9125445B08E55B2FA58008C94196CA3A66AD9EEA085F06AE07FC33FFA188831ED251E7250FE738AA96F00424E0E8B42742A41E7BB1A7A8FE8FEF42E28DC5546700F2CD2DABFFE6C7A3522B46C40C194E4D3BFAB2512E55DF0EFC8EDDE92A3517F4A342059C2A41B4663A7341330E0E3A85D9346EB9540DD56C1B2858FAC7B2D0DAC957FB054C5C0324CC1E8574FBBF27CF35068C801D2076EDDFFC39A499FF6F6179ACDF68474E9444736264ED64732458513E21D3DC3ED3E3E66684AFD1514672773BA9100B0F8708A3A5E99B10E350207A7218A7919113B1725606240295F807BB89588B4912767DB648C3EEC98F9EFDAD9F20E1D20BE0CC8EDED4A24A91240B8504831B5FD8AD5E1464D407637FD4C275420B19E306293C1E8E107541FFD51506B2E60D40866B013193FC2A38CD605FD57AB61472A2BB4B0176EC2AD8E256E68BE09706EB000DFDD05EC2A6EB9402B88167C0D3DD51C6F4757C44F7E1213F964B7E468F9C869379F7492A01E9990B123180F9F9AABD5D6B9204B4D77CF9
DAT = B04A6CF708EAEF9051CA8ACBE78FE4309820C1EC459AAA534C48B5D72562BD297242C0DE9A1F3BD9DB70F735D859C05F056C1C604826112E1B270F117E7B5F71C0002B97FA598C0ADBCBFE6D64FA84D142B6327BE75B15747FD5B7339113BB7474FEAF14EC42BF86740F50221DFB05291E1087EAF0A1A775303D487B3A009070D1845840551F8A96BA029440D0E6E070DA87D28643B9514D39F4282562F11648302BA95C839F628DF0C880F4FC91EEA7C175DD3B08F3B571E33FCE8977E42C1B87A94EA8C2E28B8635D1EFFF013773FB3671F8F3E40E0EA7A9BB92C921C15E648F3D03583FB73979231EEE5D867346366941A115E36185E34F40B3B72C29D688656D123837670816331BAE225ED5B82455434A60373454C7CDD2B8C0FAE67FDE62EFBC2C58F9E5BCA47681A94F88895BFDDCA9D55C58E87E57B677B3255C173FD9781F90BB091E12CF0BF238B4242F9A9DA9447A1ABBC0261B80A16E9702692E78F462969B7B07DD7254B3D0FF76FBA72DA3A4551E169DE641F952B1CFA7DA09
DAT = 062A962AE627F3EAC9EFF42D275D1B47772F0F3E9F0F692C6F1D07C4523A2D5802537337A838C41C2F000A1D27B5B8CBB3BDA4C8DD930D6415A6FC025F551D615E458AE50C767AA7CF1DF4B82718CCE3CA613AB72FAB35F95728BC717B6873AE4007EACC78D41F212D8D3C89F4B68DDB483DE7709F6312ADC65BB411839637643BA122BDD8C75232DC24AD50F25836384A19902FF270B737B166B66A33A49363FCA4E744521B6D535F2B3608ED098163404F26E5680C91BE7DCFC2C862858DCFC2830102EF6D673DE066B69F6E4F616AC068E11ECA9EE9BFE5913BFAEC8412824295D0E4D1C04B846D8726D5660EDAC4CE29B87791F32256B3781DA83D1A75C813718A727B0D1FF876D8DA6B99F5BBDF0000048CB0D04790BC079B976CF07EB530C68A4CAA148E2200A16FCF71DF85E2987573B1D7F9FA6D873F60D5CE8D1496668F7747FBFC4B9AFDA8089C403E72F999458576F5187D60E0D38CE0480E117790A45B3EBA73BFAD1E3AABC2C334EC7EFB67590FE8D1857DFDB4301726CD64DE
DAT = 369C3206FDC482BF3E26C86C3AB0FE11881F6DBDEAD095BB1C3E5A9B41A328B5A70CFF6A5602A7DB8DBE98CD9D7D3BBE59FB9CDB008B060D474F4161BA370DB9D8110966A87543CC1FFFF18183BBCD0D0425FBE99B4A531F5815E092049934256FD4D22E649C3D371DF00428CACA312920F45A220148E428E0EF823FFDBD128932BBE7F3DF94B28DD542298975D900F75502AE6266F8AFCB32662188BDFBED204F24A88DD29E530FE38BA96971CBE4CF47EE6B406DD49D33164B6BB2EC1233907261B60C23BD71D00F351B2A8E71C13E254FF940D0DF4CC971EF29F3845EF8CD1A1DFBC6B6B242E0238A6FFD3E39332F2FA774EC2E73DC053B29E359881A8E5A22B49FA185DAFAF90C96E74869EA34FDA1CC2BBE9962E9A2DA8650396F76FEE44793919775FF78FC46C4D4F875CF32026606162004A13161CCA7B30A09990E4CC4D88F0040D635ED07E2A5CED69D14F47BF8570746CA5C2BF73169157A953B36FFD8D04828DBF7B0108C1280BA08312A72CA27D5C035E168560DFB60C87664FF
# Info :          Associated Data, EOI=1 EOT=1, Last=0, Length=512 bytes
HDR = 160002000000000000000000
DAT = 2FEEC1C78C76F4B97F70FAB038C55E224A8BDE7674566F30B67C61CC5EA9D64B587F88D250771AC0E3B0EF574BCF7388AC703ABCEDA5F3D3A7F6EF2B041A431EEAE16BB3EA5A94760B967BEBFC67655448B4BC7C4EEDE53858C3EBE409D7A572C161984F7DCCEF729DD44068658C81217E1F54EA612FF8F1E5C03CCB603E5BE2C4ADB385F5EDF5624D251453669D506AAF3771F5394B9AE25B9E385DB1A7847E2C26E720F58BDAF6C562095ED4DC55AB020FFE960D7C6D097359FD8B89CA03F41836D6D3C69351818B6E3789C46E50112612FEEB24BBF2BA00B780B4ED2AA6A9B0AD6518430E7B8B9102250EE9480606536D3AF7B6640B854C6C957445DDA9AAC4078999324E3C47CCADCE96B8BC8BB4FBA5600C0308725BBFAE7EB81326299E7B6AF71F357E85B44B377E87F5DDE2A2CD96A83266C9810D8B85B7C6E0898D5F71A3860FA89C80A01C2C242D5150353F0042F62817CC2AF32808EEA790A384519B671B759CBC636E1DD5C6DB74468BA66A2CF7F56588821D0537F005886986EE
DAT = 830B650D13C430C70900FCB5D483BB810F94D766D78D12B29BF772A1560BB01A5205902F9996459D075FF4EE77EAC666F15774D544AAF03A6E4BC4304511F042E817D1685B8FE22C0B3BC3FDB2A54DD7A463976AB72CB5482B0C76F7C94BA28E697864F08B1414B0321928C5D194C0ED2FEAD3F1F681675A8D9AEED24A13CE969FDD2216F6EDD973A65AFAA56D18EB6973F8A5E2382B3D57D08FB0930B2992AD1F6607859C47F4AD9051050DA56BC43A4A86BA69BBFBA5FF26BBA46043087D705FCFA93850FF2EFFF47A36D0D98565C2F4DD848C8E669C8DD3B4AD208068D1227706FDE3CF0462E431B360B9F9F79EC89C802F40D41A725FF51EAE297F9B11C847A08938936B6727A9BFECC68861511730552965F9B4635E55456A7ED538149DDDAC644C6207CEDB36328E8BA6CE75B8FAA3A5FD0ABDDE2FB9CFD2FD155E3EF8257212C90E1E8E7DE29D034C39AA00080AEE9FFC8E7434ABF369625894A6709C8FA24676993D7BC07ED264E1C765879EF3E772825ADEA9856A5C1BFABCECCD11
DAT = A48F604FCE2A612A4E09BACEA087AAD2CC51EC04086A8EFF4BDF300A61DA9C7E2810922E849829C3059BB3B71A074CB66D48B2B5433C586A4A6DF91ADB5584B49E9F30B9419BC5381A8CE0BEE126A586462FFF4EC3D5F996F5DFF67BD733B7D94CBFCEBCBB8F3EC8C8993061AE293A8B7340B528DE535DB887354B7045B3F2DA1BCE61754A393576B2A964E94E522C14298E803C96F4CC59BC55B76466A72BAA7D81B2319E2043A6BC9F2DBF8ED23CF0701231C6F5E68935EAFDDE7FA94A542497A064BDA414CC4CBF8937F15C224D26A7BCEF4E72AA21A5464AF408742B04F9A8743836D94CA8878D656F982E3D2452EEC806E28AB973F1B167E783AA396D7B070F7DB24D7958CA66B1A8BAF41EAD68907C51F28D3C7898F759E375A66EB287EDF575832C9E67248FB78922F99FC39305EFA44B30CAFDCA85FD4BFFAA08C64FAEB69C211A286B6E7BB8728029A23CC9E1F86825C1C680971BEB2463AAED78E9B1224133CF1A4F33801B7B74A9DBFC1DF094D4CE9A66EDACA7936BE01490DA92
DAT = F83CCA76B04E433E5DF80E6CC5720129E83663F951BEC4D3A4C42D9B048BDB82B10DD2EFA8B0F039AC7F00EDFA1F1C2BEEBA0FF4D63E81BD37C446A4464EAF50FB089624FBB60C8AE1D5F07A374D77C7C0583BD97951D1A53C08CBCA2CE70AFAA0E621A1FD7DB564692C9B72B3428B087765A0D0B899852CEBF10939DA7D053EDAD610A60307125FBE05F2A01EA699C4DEEF806192D25E47D10C44D1253E4C5F1FF9A2F3AB4143811BC5955455BCF7D51F57312CD0A8F1DEFFACB859FAF466E7600E5EC73EC9754C185746511119FE7CDC0B8242CDF785C7EB0B28D25346753860670698C487C86A42E41F81EB430D51575F90749830E17E6EE9301CF70E3A073BCEBF998185E56EC612DC3F96E5830316BD7BEC43290895E3E1832958D7ADFF27F5B6D170BA9355DCC5F7052350FCE4430028832A30E7F5B992C908156731336592F0D0F6454179BF51BE8ECD6F36FE42398FAFEC0E16354FE8C0656AFC8650BBF3EDE07D566EF06C3EAD68384E70A883371B12A8D25DE8245EA689DFEAA748
# Info :                      Tag, EOI=0 EOT=1, Last=1, Length=16 bytes
HDR = 830000100000000000000000
DAT = D7384BC545307B1131F3B7114AA54C9AEB8E9C7FA11FA2D9390D4A572948D3F20961768F92820256AE49B7ACABBCD3B5
