Op,Reuse Key,msgBytes,adBytes,Cycles,Throughput,fresh rand. bits,rand. bits per byte of data
Enc,False,0,16,700,0.022857142857142857,672000,42000.0
Enc,False,0,32,776,0.041237113402061855,744960,23280.0
Enc,False,0,64,928,0.06896551724137931,890880,13920.0
Enc,False,0,64,928,0.06896551724137931,890880,13920.0
Enc,False,0,1536,7920,0.19393939393939394,7603200,4950.0
Enc,False,0,long,152,0.21052631578947367,145920,4560.0
Enc,False,16,0,1194,0.01340033500837521,1146240,71640.0
Enc,False,32,0,1310,0.024427480916030534,1257600,39300.0
Enc,False,64,0,1542,0.041504539559014265,1480320,23130.0
Enc,False,64,0,1542,0.041504539559014265,1480320,23130.0
Enc,False,1536,0,12214,0.1257573276567873,11725440,7633.75
Enc,False,long,0,232,0.13793103448275862,222720,6960.0
Enc,False,16,16,1270,0.025196850393700787,1219200,38100.0
Enc,False,32,32,1462,0.04377564979480164,1403520,21930.0
Enc,False,64,64,1846,0.06933911159263272,1772160,13845.0
Enc,False,64,64,1846,0.06933911159263272,1772160,13845.0
Enc,False,1536,1536,19510,0.15745771399282418,18729600,6096.875
Enc,False,long,long,384,0.16666666666666666,368640,5760.0
Dec,False,0,16,698,0.022922636103151862,670080,41880.0
Dec,False,0,32,774,0.041343669250646,743040,23220.0
Dec,False,0,64,926,0.06911447084233262,888960,13890.0
Dec,False,0,64,926,0.06911447084233262,888960,13890.0
Dec,False,0,1536,7918,0.19398838090426876,7601280,4948.75
Dec,False,0,long,152,0.21052631578947367,145920,4560.0
Dec,False,16,0,1193,0.013411567476948869,1145280,71580.0
Dec,False,32,0,1309,0.024446142093200916,1256640,39270.0
Dec,False,64,0,1541,0.04153147306943543,1479360,23115.0
Dec,False,64,0,1541,0.04153147306943543,1479360,23115.0
Dec,False,1536,0,12213,0.12576762466224514,11724480,7633.125
Dec,False,long,0,232,0.13793103448275862,222720,6960.0
Dec,False,16,16,1269,0.0252167060677699,1218240,38070.0
Dec,False,32,32,1461,0.04380561259411362,1402560,21915.0
Dec,False,64,64,1845,0.06937669376693767,1771200,13837.5
Dec,False,64,64,1845,0.06937669376693767,1771200,13837.5
Dec,False,1536,1536,19509,0.1574657850222974,18728640,6096.5625
Dec,False,long,long,384,0.16666666666666666,368640,5760.0
