Op,Reuse Key,msgBytes,adBytes,Cycles,Throughput,fresh rand. bits,rand. bits per byte of data
Enc,False,0,16,700,0.022857142857142857,1284480,80280.0
Enc,False,0,32,776,0.041237113402061855,1422720,44460.0
Enc,False,0,64,928,0.06896551724137931,1699200,26550.0
Enc,False,0,64,928,0.06896551724137931,1699200,26550.0
Enc,False,0,1536,7920,0.19393939393939394,14417280,9386.25
Enc,False,0,long,152,0.21052631578947367,276480,8640.0
Enc,False,16,0,1194,0.01340033500837521,2223360,138960.0
Enc,False,32,0,1310,0.024427480916030534,2430720,75960.0
Enc,False,64,0,1542,0.041504539559014265,2845440,44460.0
Enc,False,64,0,1542,0.041504539559014265,2845440,44460.0
Enc,False,1536,0,12214,0.1257573276567873,21922560,14272.5
Enc,False,long,0,232,0.13793103448275862,414720,12960.0
Enc,False,16,16,1270,0.025196850393700787,2361600,73800.0
Enc,False,32,32,1462,0.04377564979480164,2707200,42300.0
Enc,False,64,64,1846,0.06933911159263272,3398400,26550.0
Enc,False,64,64,1846,0.06933911159263272,3398400,26550.0
Enc,False,1536,1536,19510,0.15745771399282418,35193600,11456.25
Enc,False,long,long,384,0.16666666666666666,691200,10800.0
Dec,False,0,16,698,0.022922636103151862,1284480,80280.0
Dec,False,0,32,774,0.041343669250646,1422720,44460.0
Dec,False,0,64,926,0.06911447084233262,1699200,26550.0
Dec,False,0,64,926,0.06911447084233262,1699200,26550.0
Dec,False,0,1536,7918,0.19398838090426876,14417280,9386.25
Dec,False,0,long,152,0.21052631578947367,276480,8640.0
Dec,False,16,0,1193,0.013411567476948869,2223360,138960.0
Dec,False,32,0,1309,0.024446142093200916,2430720,75960.0
Dec,False,64,0,1541,0.04153147306943543,2845440,44460.0
Dec,False,64,0,1541,0.04153147306943543,2845440,44460.0
Dec,False,1536,0,12213,0.12576762466224514,21922560,14272.5
Dec,False,long,0,232,0.13793103448275862,414720,12960.0
Dec,False,16,16,1269,0.0252167060677699,2361600,73800.0
Dec,False,32,32,1461,0.04380561259411362,2707200,42300.0
Dec,False,64,64,1845,0.06937669376693767,3398400,26550.0
Dec,False,64,64,1845,0.06937669376693767,3398400,26550.0
Dec,False,1536,1536,19509,0.1574657850222974,35193600,11456.25
Dec,False,long,long,384,0.16666666666666666,691200,10800.0
Hash,False,16,0,273,0.05860805860805861,483840,30240.0
Hash,False,32,0,349,0.09169054441260745,622080,19440.0
Hash,False,64,0,501,0.1277445109780439,898560,14040.0
Hash,False,64,0,501,0.1277445109780439,898560,14040.0
Hash,False,1536,0,7493,0.20499132523688776,13616640,8865.0
Hash,False,long,0,152,0.21052631578947367,276480,8640.0
