Op,Reuse Key,msgBytes,adBytes,Cycles,Throughput,fresh rand. bits,rand. bits per byte of data
Enc,False,0,16,367,0.044,379680,23730.0
Enc,False,0,64,883,0.072,944160,14752.5
Enc,False,0,256,2947,0.087,3202080,12508.125
Enc,False,0,320,3635,0.088,3954720,12358.5
Enc,False,0,1536,16707,0.092,18254880,11884.688
Enc,False,0,long,688,0.093,752640,11760.0
Enc,False,16,0,370,0.043,379680,23730.0
Enc,False,64,0,901,0.071,944160,14752.5
Enc,False,256,0,3025,0.085,3202080,12508.125
Enc,False,320,0,3733,0.086,3954720,12358.5
Enc,False,1536,0,17185,0.089,18254880,11884.688
Enc,False,long,0,708,0.09,752640,11760.0
Enc,False,16,16,544,0.059,567840,17745.0
Enc,False,64,64,1591,0.08,1696800,13256.25
Enc,False,256,256,5779,0.089,6212640,12134.062
Enc,False,320,320,7175,0.089,7717920,12059.25
Enc,False,1536,1536,33699,0.091,36318240,11822.344
Enc,False,long,long,1396,0.092,1505280,11760.0
Dec,False,0,16,367,0.044,379680,23730.0
Dec,False,0,64,883,0.072,944160,14752.5
Dec,False,0,256,2947,0.087,3202080,12508.125
Dec,False,0,320,3635,0.088,3954720,12358.5
Dec,False,0,1536,16707,0.092,18254880,11884.688
Dec,False,0,long,688,0.093,752640,11760.0
Dec,False,16,0,372,0.043,379680,23730.0
Dec,False,64,0,903,0.071,944160,14752.5
Dec,False,256,0,3027,0.085,3202080,12508.125
Dec,False,320,0,3735,0.086,3954720,12358.5
Dec,False,1536,0,17187,0.089,18254880,11884.688
Dec,False,long,0,708,0.09,752640,11760.0
Dec,False,16,16,546,0.059,567840,17745.0
Dec,False,64,64,1593,0.08,1696800,13256.25
Dec,False,256,256,5781,0.089,6212640,12134.062
Dec,False,320,320,7177,0.089,7717920,12059.25
Dec,False,1536,1536,33701,0.091,36318240,11822.344
Dec,False,long,long,1396,0.092,1505280,11760.0
