Op,Reuse Key,msgBytes,adBytes,Cycles,Throughput,fresh rand. bits,rand. bits per byte of data
Enc,False,0,16,749,0.021361815754339118,95872,5992.0
Enc,False,0,64,1485,0.0430976430976431,190080,2970.0
Enc,False,0,128,2221,0.05763169743358847,284288,2221.0
Enc,False,0,1536,18413,0.08341932330418726,2356864,1534.4166666666667
Enc,False,0,long,736,0.08695652173913043,94208,1472.0
Enc,False,16,0,749,0.021361815754339118,95872,5992.0
Enc,False,64,0,1841,0.03476371537208039,235648,3682.0
Enc,False,128,0,3297,0.038823172581134366,422016,3297.0
Enc,False,1536,0,35329,0.0434770302018172,4522112,2944.0833333333335
Enc,False,long,0,1456,0.04395604395604396,186368,2912.0
Enc,False,16,16,749,0.042723631508678236,95872,2996.0
Enc,False,64,64,2577,0.04967015909972836,329856,2577.0
Enc,False,128,128,4769,0.053680016775005245,610432,2384.5
Enc,False,1536,1536,52993,0.05796992055554507,6783104,2208.0416666666665
Enc,False,long,long,2192,0.058394160583941604,280576,2192.0
Enc,True,0,16,742,0.0215633423180593,94976,5936.0
Enc,True,0,64,1478,0.04330175913396482,189184,2956.0
Enc,True,0,128,2214,0.057813911472448055,283392,2214.0
Enc,True,0,1536,18406,0.08345104857111811,2355968,1533.8333333333333
Enc,True,0,long,736,0.08695652173913043,94208,1472.0
Enc,True,16,0,742,0.0215633423180593,94976,5936.0
Enc,True,64,0,1834,0.03489640130861505,234752,3668.0
Enc,True,128,0,3290,0.038905775075987845,421120,3290.0
Enc,True,1536,0,35322,0.04348564633939188,4521216,2943.5
Enc,True,long,0,1456,0.04395604395604396,186368,2912.0
Enc,True,16,16,742,0.0431266846361186,94976,2968.0
Enc,True,64,64,2570,0.049805447470817124,328960,2570.0
Enc,True,128,128,4762,0.05375892482150357,609536,2381.0
Enc,True,1536,1536,52986,0.057977578983127616,6782208,2207.75
Enc,True,long,long,2192,0.058394160583941604,280576,2192.0
Dec,False,0,16,749,0.021361815754339118,95872,5992.0
Dec,False,0,64,1485,0.0430976430976431,190080,2970.0
Dec,False,0,128,2221,0.05763169743358847,284288,2221.0
Dec,False,0,1536,18413,0.08341932330418726,2356864,1534.4166666666667
Dec,False,0,long,736,0.08695652173913043,94208,1472.0
Dec,False,16,0,749,0.021361815754339118,95872,5992.0
Dec,False,64,0,1841,0.03476371537208039,235648,3682.0
Dec,False,128,0,3297,0.038823172581134366,422016,3297.0
Dec,False,1536,0,35329,0.0434770302018172,4522112,2944.0833333333335
Dec,False,long,0,1456,0.04395604395604396,186368,2912.0
Dec,False,16,16,749,0.042723631508678236,95872,2996.0
Dec,False,64,64,2577,0.04967015909972836,329856,2577.0
Dec,False,128,128,4769,0.053680016775005245,610432,2384.5
Dec,False,1536,1536,52993,0.05796992055554507,6783104,2208.0416666666665
Dec,False,long,long,2192,0.058394160583941604,280576,2192.0
Dec,True,0,16,742,0.0215633423180593,94976,5936.0
Dec,True,0,64,1478,0.04330175913396482,189184,2956.0
Dec,True,0,128,2214,0.057813911472448055,283392,2214.0
Dec,True,0,1536,18406,0.08345104857111811,2355968,1533.8333333333333
Dec,True,0,long,736,0.08695652173913043,94208,1472.0
Dec,True,16,0,742,0.0215633423180593,94976,5936.0
Dec,True,64,0,1834,0.03489640130861505,234752,3668.0
Dec,True,128,0,3290,0.038905775075987845,421120,3290.0
Dec,True,1536,0,35322,0.04348564633939188,4521216,2943.5
Dec,True,long,0,1456,0.04395604395604396,186368,2912.0
Dec,True,16,16,742,0.0431266846361186,94976,2968.0
Dec,True,64,64,2570,0.049805447470817124,328960,2570.0
Dec,True,128,128,4762,0.05375892482150357,609536,2381.0
Dec,True,1536,1536,52986,0.057977578983127616,6782208,2207.75
Dec,True,long,long,2192,0.058394160583941604,280576,2192.0
