Op,Reuse Key,msgBytes,adBytes,Cycles,Throughput,fresh rand. bits,rand. bits per byte of data
Enc,False,0,16,749,0.021361815754339118,287616,17976.0
Enc,False,0,64,1485,0.0430976430976431,570240,8910.0
Enc,False,0,128,2221,0.05763169743358847,852864,6663.0
Enc,False,0,1536,18413,0.08341932330418726,7070592,4603.25
Enc,False,0,long,736,0.08695652173913043,282624,4416.0
Enc,False,16,0,749,0.021361815754339118,287616,17976.0
Enc,False,64,0,1841,0.03476371537208039,706944,11046.0
Enc,False,128,0,3297,0.038823172581134366,1266048,9891.0
Enc,False,1536,0,35329,0.0434770302018172,13566336,8832.25
Enc,False,long,0,1456,0.04395604395604396,559104,8736.0
Enc,False,16,16,749,0.042723631508678236,287616,8988.0
Enc,False,64,64,2577,0.04967015909972836,989568,7731.0
Enc,False,128,128,4769,0.053680016775005245,1831296,7153.5
Enc,False,1536,1536,52993,0.05796992055554507,20349312,6624.125
Enc,False,long,long,2192,0.058394160583941604,841728,6576.0
Enc,True,0,16,742,0.0215633423180593,284928,17808.0
Enc,True,0,64,1478,0.04330175913396482,567552,8868.0
Enc,True,0,128,2214,0.057813911472448055,850176,6642.0
Enc,True,0,1536,18406,0.08345104857111811,7067904,4601.5
Enc,True,0,long,736,0.08695652173913043,282624,4416.0
Enc,True,16,0,742,0.0215633423180593,284928,17808.0
Enc,True,64,0,1834,0.03489640130861505,704256,11004.0
Enc,True,128,0,3290,0.038905775075987845,1263360,9870.0
Enc,True,1536,0,35322,0.04348564633939188,13563648,8830.5
Enc,True,long,0,1456,0.04395604395604396,559104,8736.0
Enc,True,16,16,742,0.0431266846361186,284928,8904.0
Enc,True,64,64,2570,0.049805447470817124,986880,7710.0
Enc,True,128,128,4762,0.05375892482150357,1828608,7143.0
Enc,True,1536,1536,52986,0.057977578983127616,20346624,6623.25
Enc,True,long,long,2192,0.058394160583941604,841728,6576.0
Dec,False,0,16,749,0.021361815754339118,287616,17976.0
Dec,False,0,64,1485,0.0430976430976431,570240,8910.0
Dec,False,0,128,2221,0.05763169743358847,852864,6663.0
Dec,False,0,1536,18413,0.08341932330418726,7070592,4603.25
Dec,False,0,long,736,0.08695652173913043,282624,4416.0
Dec,False,16,0,749,0.021361815754339118,287616,17976.0
Dec,False,64,0,1841,0.03476371537208039,706944,11046.0
Dec,False,128,0,3297,0.038823172581134366,1266048,9891.0
Dec,False,1536,0,35329,0.0434770302018172,13566336,8832.25
Dec,False,long,0,1456,0.04395604395604396,559104,8736.0
Dec,False,16,16,749,0.042723631508678236,287616,8988.0
Dec,False,64,64,2577,0.04967015909972836,989568,7731.0
Dec,False,128,128,4769,0.053680016775005245,1831296,7153.5
Dec,False,1536,1536,52993,0.05796992055554507,20349312,6624.125
Dec,False,long,long,2192,0.058394160583941604,841728,6576.0
Dec,True,0,16,742,0.0215633423180593,284928,17808.0
Dec,True,0,64,1478,0.04330175913396482,567552,8868.0
Dec,True,0,128,2214,0.057813911472448055,850176,6642.0
Dec,True,0,1536,18406,0.08345104857111811,7067904,4601.5
Dec,True,0,long,736,0.08695652173913043,282624,4416.0
Dec,True,16,0,742,0.0215633423180593,284928,17808.0
Dec,True,64,0,1834,0.03489640130861505,704256,11004.0
Dec,True,128,0,3290,0.038905775075987845,1263360,9870.0
Dec,True,1536,0,35322,0.04348564633939188,13563648,8830.5
Dec,True,long,0,1456,0.04395604395604396,559104,8736.0
Dec,True,16,16,742,0.0431266846361186,284928,8904.0
Dec,True,64,64,2570,0.049805447470817124,986880,7710.0
Dec,True,128,128,4762,0.05375892482150357,1828608,7143.0
Dec,True,1536,1536,52986,0.057977578983127616,20346624,6623.25
Dec,True,long,long,2192,0.058394160583941604,841728,6576.0
