Op,Reuse Key,msgBytes,adBytes,Cycles,Throughput,fresh rand. bits,rand. bits per byte of data
Enc,False,0,16,749,0.021361815754339118,575232,35952.0
Enc,False,0,64,1485,0.0430976430976431,1140480,17820.0
Enc,False,0,128,2221,0.05763169743358847,1705728,13326.0
Enc,False,0,1536,18413,0.08341932330418726,14141184,9206.5
Enc,False,0,long,736,0.08695652173913043,565248,8832.0
Enc,False,16,0,749,0.021361815754339118,575232,35952.0
Enc,False,64,0,1841,0.03476371537208039,1413888,22092.0
Enc,False,128,0,3297,0.038823172581134366,2532096,19782.0
Enc,False,1536,0,35329,0.0434770302018172,27132672,17664.5
Enc,False,long,0,1456,0.04395604395604396,1118208,17472.0
Enc,False,16,16,749,0.042723631508678236,575232,17976.0
Enc,False,64,64,2577,0.04967015909972836,1979136,15462.0
Enc,False,128,128,4769,0.053680016775005245,3662592,14307.0
Enc,False,1536,1536,52993,0.05796992055554507,40698624,13248.25
Enc,False,long,long,2192,0.058394160583941604,1683456,13152.0
Enc,True,0,16,742,0.0215633423180593,569856,35616.0
Enc,True,0,64,1478,0.04330175913396482,1135104,17736.0
Enc,True,0,128,2214,0.057813911472448055,1700352,13284.0
Enc,True,0,1536,18406,0.08345104857111811,14135808,9203.0
Enc,True,0,long,736,0.08695652173913043,565248,8832.0
Enc,True,16,0,742,0.0215633423180593,569856,35616.0
Enc,True,64,0,1834,0.03489640130861505,1408512,22008.0
Enc,True,128,0,3290,0.038905775075987845,2526720,19740.0
Enc,True,1536,0,35322,0.04348564633939188,27127296,17661.0
Enc,True,long,0,1456,0.04395604395604396,1118208,17472.0
Enc,True,16,16,742,0.0431266846361186,569856,17808.0
Enc,True,64,64,2570,0.049805447470817124,1973760,15420.0
Enc,True,128,128,4762,0.05375892482150357,3657216,14286.0
Enc,True,1536,1536,52986,0.057977578983127616,40693248,13246.5
Enc,True,long,long,2192,0.058394160583941604,1683456,13152.0
Dec,False,0,16,749,0.021361815754339118,575232,35952.0
Dec,False,0,64,1485,0.0430976430976431,1140480,17820.0
Dec,False,0,128,2221,0.05763169743358847,1705728,13326.0
Dec,False,0,1536,18413,0.08341932330418726,14141184,9206.5
Dec,False,0,long,736,0.08695652173913043,565248,8832.0
Dec,False,16,0,749,0.021361815754339118,575232,35952.0
Dec,False,64,0,1841,0.03476371537208039,1413888,22092.0
Dec,False,128,0,3297,0.038823172581134366,2532096,19782.0
Dec,False,1536,0,35329,0.0434770302018172,27132672,17664.5
Dec,False,long,0,1456,0.04395604395604396,1118208,17472.0
Dec,False,16,16,749,0.042723631508678236,575232,17976.0
Dec,False,64,64,2577,0.04967015909972836,1979136,15462.0
Dec,False,128,128,4769,0.053680016775005245,3662592,14307.0
Dec,False,1536,1536,52993,0.05796992055554507,40698624,13248.25
Dec,False,long,long,2192,0.058394160583941604,1683456,13152.0
Dec,True,0,16,742,0.0215633423180593,569856,35616.0
Dec,True,0,64,1478,0.04330175913396482,1135104,17736.0
Dec,True,0,128,2214,0.057813911472448055,1700352,13284.0
Dec,True,0,1536,18406,0.08345104857111811,14135808,9203.0
Dec,True,0,long,736,0.08695652173913043,565248,8832.0
Dec,True,16,0,742,0.0215633423180593,569856,35616.0
Dec,True,64,0,1834,0.03489640130861505,1408512,22008.0
Dec,True,128,0,3290,0.038905775075987845,2526720,19740.0
Dec,True,1536,0,35322,0.04348564633939188,27127296,17661.0
Dec,True,long,0,1456,0.04395604395604396,1118208,17472.0
Dec,True,16,16,742,0.0431266846361186,569856,17808.0
Dec,True,64,64,2570,0.049805447470817124,1973760,15420.0
Dec,True,128,128,4762,0.05375892482150357,3657216,14286.0
Dec,True,1536,1536,52986,0.057977578983127616,40693248,13246.5
Dec,True,long,long,2192,0.058394160583941604,1683456,13152.0
