###############################################################################
# pdi.txt
# This file was auto-generated by cryptotvgen v1.1.1
###############################################################################
# Parameter:
#
# add_partial            - False
# aead                   - schwaemm256128v1
# block_size             - 256
# block_size_ad          - 256
# block_size_msg_digest  - None
# cc_hls                 - False
# cc_pad_ad              - 0
# cc_pad_d               - 0
# cc_pad_enable          - False
# cc_pad_style           - 1
# ciph_exp               - False
# ciph_exp_noext         - False
# dec_msg_format         - ['npub', 'ad', 'data', 'tag']
# gen_custom_mode        - 0
# hash                   - None
# io (W,SW)              - [32, 32]
# key_size               - 128
# max_ad                 - 1000
# max_block_per_sgmt     - None
# max_d                  - 1000
# max_io_per_line        - 9999
# message_digest_size    - None
# min_ad                 - 0
# min_d                  - 0
# msg_format             - ['npub', 'ad', 'data', 'tag']
# npub_size              - 256
# nsec_size              - 0
# offline                - False
# tag_size               - 128
###############################################################################

#### Authenticated Encryption
#### MsgID=1, KeyID=1, AD Size=0, PT Size=0
# Instruction: Opcode=Activate Key
INS = 70000000
# Instruction: Opcode=Authenticated Encryption
INS = 20000000
# Info :                     Npub, EOI=1 EOT=1, Last=0, Length=32 bytes
HDR = D6000020
DAT = A89FCCBFB9137C56B21435661FB1DF52ACC9FA119E2D63AC189001A41DBA9D2A
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=0 bytes
HDR = 12000000
# Info :                Plaintext, EOI=0 EOT=1, Last=1, Length=0 bytes
HDR = 43000000

#### Authenticated Encryption
#### MsgID=2, KeyID=1, AD Size=160, PT Size=0
# Instruction: Opcode=Authenticated Encryption
INS = 20000000
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=32 bytes
HDR = D2000020
DAT = 862D8C79B9484898AB266005859011CAE5C8C950442AB10FC02E024399E2A591
# Info :          Associated Data, EOI=1 EOT=1, Last=0, Length=160 bytes
HDR = 160000A0
DAT = 1B8B514E32E43415FCCAB3082956A7FABA4D2F57C5EB5B69953FC561344E15C93BB2BAFD29969B095206153A17045348890B6C06EA10B8FF14085FF1F6A467166B8401C88D2C8D915DD161626445B23356BA13544F076986E5E2961E4222F6FE7069B49A81EBB931EB2FC15DD31895998480CE51F92E298316AF6E982AD24A995494392AE723C0C785F1FAD48B97AC600D06729E0790948763278C3C8988691E
# Info :                Plaintext, EOI=0 EOT=1, Last=1, Length=0 bytes
HDR = 43000000

#### Authenticated Encryption
#### MsgID=3, KeyID=1, AD Size=128, PT Size=0
# Instruction: Opcode=Authenticated Encryption
INS = 20000000
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=32 bytes
HDR = D2000020
DAT = 0457D1402D8A2050C64791028F74A359B9F53A464AC84217B1870304F7917F04
# Info :          Associated Data, EOI=1 EOT=1, Last=0, Length=128 bytes
HDR = 16000080
DAT = 1DD3068840197A4E051B0604568FC0923378DCB37E8287229EAB0D76753596AD1E5BE0D8B0A36E4A32D140CD573C7FB10525549EC0509FF6DF90D468E1DEC5DBB2F9E90DCF4F5163A2228B9F323C57B40F917F857C4DF3D45A785F1062EA00E8E83D7891A2FBDBCF336F28723C66257110689FE60CAA0C14F31EEE683BF1A553
# Info :                Plaintext, EOI=0 EOT=1, Last=1, Length=0 bytes
HDR = 43000000

#### Authenticated Encryption
#### MsgID=4, KeyID=1, AD Size=1536, PT Size=0
# Instruction: Opcode=Authenticated Encryption
INS = 20000000
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=32 bytes
HDR = D2000020
DAT = B4BBD0413D473B61F44495FB8B7174B32D8F4AC6572C90F5309D8DC49884207B
# Info :          Associated Data, EOI=1 EOT=1, Last=0, Length=1536 bytes
HDR = 16000600
DAT = B62216EF2AC56066B5DBCEF69D39571E200033ECE700C883BD809112AF3FF451EDE8140FF5B151CF7B14A44404405A657E6B081CA3FF113C246A20DCE106DE4EA893F380A89C91BA0060AF9F9C0B88B7D3EFEE1EAF1745671A0FD0D7144A72A7BB3FC759AEDCD180F3DE831FCB9AAD1CBE25B4E82EED489C45141532DD185578141C4E6C68599D6383ED737854809F618C33C7846BBFCFB7E6F1C5793F4F90311B4BF9B9869FCEF29BBA7A1352F69FDC9E115860DF3FB5A917FCA69B137888C2CB063339B2DCC6073A921EEBBF74F1221E1969A465911C943D9932DEB68D2112CE5068A2537F27668EA661BAF4DE81D20A8F88A0D4A87A7F6C221EDB5512E9E3A0EE809E1BA148A0112FBEB566ADF080BBD465EFBB1ACB2103976043B0A16FE641764EE47490732B9EDBE3A8F0A19957E6729D01BD2D16DB907434F67A0A316B217D4AE133B226CDD9CD3A73924D71929A494B16008A180A42F82F436A5D33624DA7152F91A7E9B506087D07C06324A9A65C9F810FD10CAAC8085FD11EE419B48B00B38527F279CAA792371682AB156CAD6141B1A84F225F545B1380DFA04419F77C74BB09A5D49BA56CF860DC729E847F5BF30E16C073877B40E5184C25D418C1CDDA74A3FADC4356AA052B10776E5B1ACE3FF84BBE8E26678BB01BA443736DD1DC139E983A1920788D9F3F43B80049011537139990FDFFEA3E6DA20C4263F6C04302F97BFCA2B99039AAE3861E91CE4278FF32166EBB760A7602521E97661772A1EA69FA45DA6B6F7889756E82649417F2293B30CBA0139AE7BBBF097397E54D5C17A831535C2755622487577957985722ED8EFD7945216C7316845111D107B7486BA20471E49CEA9681DF2473BBD4F097206EA88B4F216C9DF449E730E24516C476B8F12BD60455531A03D0F9FFB21BBB14EEBF5D6401019DDE7677844DAC5C122BA80EA9DB8062A40C16684CEAF6A8025EB0760E3DF410CCE60CDB3EAE106431F0D76DDA256734818F40A7E8B7B96EA46B3A61EC539BDE732DC081BB970FC6A358514250EF5010EA9043EF1366DF09A9D9C7480D6545B1A3094A4B463409F8A1123A71D084B95C81BF87A88E3595BAD6DAEFEAD8A299B2EC91BF32CDAA75A7E3532DAFB3AAEA971C514065451020AF4172AF46B333B0B482DF79A3701412E3B41343EEF9CDF3A74A39940977585CD38E361FD6886666DFC4AD17DA0E0D6F44B409209242CAD138D8E19E5E5E1DCE084D850F7C6A7111A838FC679C0F17926B85FFE6CC802FEDFAF71FD7EAE9127EE6D1F5EA2ACB8A883F5356369E9672C847C44E1DA46777D034F6CBB2750C36AC039220A7B9C00107B01C2529B13FAA4B4E2A89C88FE4781899ECD0C6449C206FE66B73F001D84DD4BE7E3CD51036DDFE863B3171EECFA9F5A5049DC44D75498E9068D52AD75005C6662675F76A4FABB4D9EABE86C10FFB86D4A7412612BE402A5A56B1D6192152F5EECCA044FAFE1D0CF5C77476F59403D31A3585281B0B6750BFD608905A843F895F60A3AAAEBE9A3B4B890EDF5FF1A0110BDC9D33616D8FFED7734C11FB19F178A0ECE596FFCC5CC0E48CB94CCE35A101D1B8BB1E05EC4BAB4A2162A95F5D42068EA66AA0EFFEC54B1C355E1BB318F0F8F2559B314CACD1CF70B27DE74C54133242A5D858DEA2013A1996C308783F068ABF753A9F999A6567279EC94C4CA1F6C06FED21C1F573F5D776D33E02D09D32861570D9A9074E566FFCF1B35C9D4F2DD093D5D2455D118B50D835AE200FF7929D74119CEBFA76A45B6D8808A0979DDECFBAFFF041572B4EA591B3A7D41F8A5CC20F1B90BA60B8AE766B27A7FC4C3F99DF91694245C3AE972F6C958A67A23ABA49DA993D55F369218438087A20D5689A71CD7A8FE5E1707477415A50007F2DD026E4F6BD73F9CC0A18B78AC490B7DAE3392B6544553E703E645AC9443D59A534D93D3F3F532B1A0EB2CDA4F7058BE8FB0385ED24BBC3D1F1B803B4CAD0EEF41BBE74FE7A456C425DC2087787B775C70EEB18FD8AA62C23E87831380D0B625735537AAD3B8AC8F8A41A781A6C52E717D47E1F386739DC38A21057DF789269B6C5C47AD46DCD379BAA4D7534782C9057EC6F7AED4783734E2E5CF7169CD5086CDAB040A9958AC887FDEE35E8242919790C7CF9498F3EA01F18CA
# Info :                Plaintext, EOI=0 EOT=1, Last=1, Length=0 bytes
HDR = 43000000

#### Authenticated Encryption
#### MsgID=5, KeyID=1, AD Size=64, PT Size=0
# Instruction: Opcode=Authenticated Encryption
INS = 20000000
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=32 bytes
HDR = D2000020
DAT = EDFB2B82504B412D2AC267A5C713A2FCE1E5947500EC08DB076F2F07AC9DD458
# Info :          Associated Data, EOI=1 EOT=1, Last=0, Length=64 bytes
HDR = 16000040
DAT = 44D3A2D8B71992F6136D9E2FB3F3E678A368291D2229B34884B831AA719D92789365913FA7E2187566941DD61580F6C2250B444D58BD8C52E7D7974DB387D32A
# Info :                Plaintext, EOI=0 EOT=1, Last=1, Length=0 bytes
HDR = 43000000

#### Authenticated Encryption
#### MsgID=6, KeyID=1, AD Size=16, PT Size=0
# Instruction: Opcode=Authenticated Encryption
INS = 20000000
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=32 bytes
HDR = D2000020
DAT = 1B7A1B5F7E10F3745DFCF50548957539FFE822F2614D2414F43107407761EF9A
# Info :          Associated Data, EOI=1 EOT=1, Last=0, Length=16 bytes
HDR = 16000010
DAT = 929E8C01D0E3A075C22F80467CCAAEF0
# Info :                Plaintext, EOI=0 EOT=1, Last=1, Length=0 bytes
HDR = 43000000

#### Authenticated Encryption
#### MsgID=7, KeyID=1, AD Size=0, PT Size=160
# Instruction: Opcode=Authenticated Encryption
INS = 20000000
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=32 bytes
HDR = D2000020
DAT = F05AE4E68F167B17104A9EFDACDED108FDF3F58F7DB85B02AF25B90EBDFA2160
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=0 bytes
HDR = 12000000
# Info :                Plaintext, EOI=1 EOT=1, Last=1, Length=160 bytes
HDR = 470000A0
DAT = E9B63F2A7E52CFB5C4FCD76A8A67658BCC20194BEEF8529F03A373A1B8776379056775C3C83F860162AE88BB15515217EBAE6F74EEBE5B8CAA727280A685266A15DF3958A1EC28C23C550783BF402C87183D472F6507F83B76B61E12383875AABFDCAD90904BFE5BCD37F658EBA2957B69E261480A3C2F65E213D872BE1B2CAE4BB5D9D5CA173B1765D6682F4B7928755CF216D9B4BCE90BF8CD105ABE29DE51

#### Authenticated Encryption
#### MsgID=8, KeyID=1, AD Size=0, PT Size=128
# Instruction: Opcode=Authenticated Encryption
INS = 20000000
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=32 bytes
HDR = D2000020
DAT = 4467F46C75483E3146DEDCAC402C70DD2225CB047A3B8C6686DF94B95A664639
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=0 bytes
HDR = 12000000
# Info :                Plaintext, EOI=1 EOT=1, Last=1, Length=128 bytes
HDR = 47000080
DAT = 3CDE2D639B4C60F95F3AF9E145258A8E316D4890CA9C4FDCA4BB0C476147E806DE6C11725BD6FFD02229E0B16EFCA0007B58350922B204A7158E7A8A1D37ED352F7E42714C27E9EEC17285C2FA06B653C40FE65F9F8A280BDC8B256741ACBDE02D9EDC74F1F6A51C961CAFC4D4D02389D73935C10B887885BA6973FF6B92FAD5

#### Authenticated Encryption
#### MsgID=9, KeyID=1, AD Size=0, PT Size=1536
# Instruction: Opcode=Authenticated Encryption
INS = 20000000
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=32 bytes
HDR = D2000020
DAT = 1355C1E626BE0C701D5A0600F0025BD8AD734C421A5BAB5FB36B8266CA458675
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=0 bytes
HDR = 12000000
# Info :                Plaintext, EOI=1 EOT=1, Last=1, Length=1536 bytes
HDR = 47000600
