Op,Reuse Key,msgBytes,adBytes,Cycles,Throughput,fresh rand. bits,rand. bits per byte of data
Enc,False,0,16,1005,0.015920398009950248,1489920,93120.0
Enc,False,0,64,1323,0.04837490551776266,1964544,30696.0
Enc,False,0,128,1959,0.06533945890760592,2913792,22764.0
Enc,False,0,256,3231,0.07923243577839678,4812288,18798.0
Enc,False,0,1536,15951,0.09629490314086891,23797248,15493.0
Enc,False,0,long,1272,0.10062893081761007,1898496,14832.0
Enc,False,16,0,1010,0.015841584158415842,1489920,93120.0
Enc,False,64,0,1341,0.047725577926920205,1964544,30696.0
Enc,False,128,0,1995,0.06416040100250626,2913792,22764.0
Enc,False,256,0,3303,0.07750529821374508,4812288,18798.0
Enc,False,1536,0,16383,0.09375572239516572,23797248,15493.0
Enc,False,long,0,1308,0.09785932721712538,1898496,14832.0
Enc,False,16,16,1504,0.02127659574468085,2234880,69840.0
Enc,False,64,64,2153,0.05945192754296331,3184128,24876.0
Enc,False,128,128,3443,0.07435376125471972,5082624,19854.0
Enc,False,256,256,6023,0.08500747135978748,8879616,17343.0
Enc,False,1536,1536,31823,0.09653395342990918,46849536,15250.5
Enc,False,long,long,2580,0.09922480620155039,3796992,14832.0
Dec,False,0,16,1006,0.015904572564612324,1489920,93120.0
Dec,False,0,64,1324,0.04833836858006042,1964544,30696.0
Dec,False,0,128,1960,0.0653061224489796,2913792,22764.0
Dec,False,0,256,3232,0.07920792079207921,4812288,18798.0
Dec,False,0,1536,15952,0.09628886659979939,23797248,15493.0
Dec,False,0,long,1272,0.10062893081761007,1898496,14832.0
Dec,False,16,0,1011,0.01582591493570722,1489920,93120.0
Dec,False,64,0,1342,0.04769001490312966,1964544,30696.0
Dec,False,128,0,1996,0.06412825651302605,2913792,22764.0
Dec,False,256,0,3304,0.0774818401937046,4812288,18798.0
Dec,False,1536,0,16384,0.09375,23797248,15493.0
Dec,False,long,0,1308,0.09785932721712538,1898496,14832.0
Dec,False,16,16,1505,0.0212624584717608,2234880,69840.0
Dec,False,64,64,2154,0.059424326833797586,3184128,24876.0
Dec,False,128,128,3444,0.0743321718931475,5082624,19854.0
Dec,False,256,256,6024,0.0849933598937583,8879616,17343.0
Dec,False,1536,1536,31824,0.09653092006033183,46849536,15250.5
Dec,False,long,long,2580,0.09922480620155039,3796992,14832.0
Hash,False,16,0,812,0.019704433497536946,1219584,76224.0
Hash,False,64,0,1754,0.036488027366020526,2643456,41304.0
Hash,False,128,0,3010,0.0425249169435216,4541952,35484.0
Hash,False,1536,0,30642,0.0501272762874486,46308864,30149.0
Hash,False,long,0,1256,0.050955414012738856,1898496,29664.0
