Op,Reuse Key,msgBytes,adBytes,Cycles,Throughput
Enc,False,0,16,124,0.129
Enc,False,0,64,162,0.395
Enc,False,0,128,238,0.538
Enc,False,0,256,390,0.656
Enc,False,0,1536,1910,0.804
Enc,False,0,long,152,0.842
Enc,False,16,0,129,0.124
Enc,False,64,0,180,0.356
Enc,False,128,0,274,0.467
Enc,False,256,0,462,0.554
Enc,False,1536,0,2342,0.656
Enc,False,long,0,188,0.681
Enc,False,16,16,183,0.175
Enc,False,64,64,272,0.471
Enc,False,128,128,442,0.579
Enc,False,256,256,782,0.655
Enc,False,1536,1536,4182,0.735
Enc,False,long,long,340,0.753
Enc,True,0,16,116,0.138
Enc,True,0,64,154,0.416
Enc,True,0,128,230,0.557
Enc,True,0,256,382,0.67
Enc,True,0,1536,1902,0.808
Enc,True,0,long,152,0.842
Enc,True,16,0,121,0.132
Enc,True,64,0,172,0.372
Enc,True,128,0,266,0.481
Enc,True,256,0,454,0.564
Enc,True,1536,0,2334,0.658
Enc,True,long,0,188,0.681
Enc,True,16,16,175,0.183
Enc,True,64,64,264,0.485
Enc,True,128,128,434,0.59
Enc,True,256,256,774,0.661
Enc,True,1536,1536,4174,0.736
Enc,True,long,long,340,0.753
Dec,False,0,16,125,0.128
Dec,False,0,64,163,0.393
Dec,False,0,128,239,0.536
Dec,False,0,256,391,0.655
Dec,False,0,1536,1911,0.804
Dec,False,0,long,152,0.842
Dec,False,16,0,130,0.123
Dec,False,64,0,181,0.354
Dec,False,128,0,275,0.465
Dec,False,256,0,463,0.553
Dec,False,1536,0,2343,0.656
Dec,False,long,0,188,0.681
Dec,False,16,16,184,0.174
Dec,False,64,64,273,0.469
Dec,False,128,128,443,0.578
Dec,False,256,256,783,0.654
Dec,False,1536,1536,4183,0.734
Dec,False,long,long,340,0.753
Dec,True,0,16,117,0.137
Dec,True,0,64,155,0.413
Dec,True,0,128,231,0.554
Dec,True,0,256,383,0.668
Dec,True,0,1536,1903,0.807
Dec,True,0,long,152,0.842
Dec,True,16,0,122,0.131
Dec,True,64,0,173,0.37
Dec,True,128,0,267,0.479
Dec,True,256,0,455,0.563
Dec,True,1536,0,2335,0.658
Dec,True,long,0,188,0.681
Dec,True,16,16,176,0.182
Dec,True,64,64,265,0.483
Dec,True,128,128,435,0.589
Dec,True,256,256,775,0.661
Dec,True,1536,1536,4175,0.736
Dec,True,long,long,340,0.753
Hash,False,16,0,91,0.176
Hash,False,64,0,193,0.332
Hash,False,128,0,329,0.389
Hash,False,256,0,601,0.426
Hash,False,1536,0,3321,0.463
Hash,False,long,0,272,0.471
