Op,Reuse Key,msgBytes,adBytes,Cycles,Throughput,fresh rand. bits,rand. bits per byte of data
Enc,False,0,16,511,0.03131115459882583,16352,1022.0
Enc,False,0,32,663,0.048265460030165915,21216,663.0
Enc,False,0,64,967,0.06618407445708377,30944,483.5
Enc,False,0,1536,14951,0.10273560296970102,478432,311.4791666666667
Enc,False,0,long,152,0.10526315789473684,4864,304.0
Enc,False,16,0,752,0.02127659574468085,24064,1504.0
Enc,False,32,0,1144,0.027972027972027972,36608,1144.0
Enc,False,64,0,1928,0.03319502074688797,61696,964.0
Enc,False,1536,0,37992,0.04042956411876184,1215744,791.5
Enc,False,long,0,392,0.04081632653061224,12544,784.0
Enc,False,16,16,903,0.035437430786267994,28896,903.0
Enc,False,32,32,1447,0.0442294402211472,46304,723.5
Enc,False,64,64,2535,0.0504930966469428,81120,633.75
Enc,False,1536,1536,52583,0.058421923435330814,1682656,547.7395833333334
Enc,False,long,long,544,0.058823529411764705,17408,544.0
Dec,False,0,16,511,0.03131115459882583,16352,1022.0
Dec,False,0,32,663,0.048265460030165915,21216,663.0
Dec,False,0,64,967,0.06618407445708377,30944,483.5
Dec,False,0,1536,14951,0.10273560296970102,478432,311.4791666666667
Dec,False,0,long,152,0.10526315789473684,4864,304.0
Dec,False,16,0,752,0.02127659574468085,24064,1504.0
Dec,False,32,0,1144,0.027972027972027972,36608,1144.0
Dec,False,64,0,1928,0.03319502074688797,61696,964.0
Dec,False,1536,0,37992,0.04042956411876184,1215744,791.5
Dec,False,long,0,392,0.04081632653061224,12544,784.0
Dec,False,16,16,903,0.035437430786267994,28896,903.0
Dec,False,32,32,1447,0.0442294402211472,46304,723.5
Dec,False,64,64,2535,0.0504930966469428,81120,633.75
Dec,False,1536,1536,52583,0.058421923435330814,1682656,547.7395833333334
Dec,False,long,long,544,0.058823529411764705,17408,544.0
