Op,Reuse Key,msgBytes,adBytes,Cycles,Throughput,fresh rand. bits,rand. bits per byte of data
Enc,False,0,16,511,0.03131115459882583,49056,3066.0
Enc,False,0,32,663,0.048265460030165915,63648,1989.0
Enc,False,0,64,967,0.06618407445708377,92832,1450.5
Enc,False,0,1536,14951,0.10273560296970102,1435296,934.4375
Enc,False,0,long,152,0.10526315789473684,14592,912.0
Enc,False,16,0,752,0.02127659574468085,72192,4512.0
Enc,False,32,0,1144,0.027972027972027972,109824,3432.0
Enc,False,64,0,1928,0.03319502074688797,185088,2892.0
Enc,False,1536,0,37992,0.04042956411876184,3647232,2374.5
Enc,False,long,0,392,0.04081632653061224,37632,2352.0
Enc,False,16,16,903,0.035437430786267994,86688,2709.0
Enc,False,32,32,1447,0.0442294402211472,138912,2170.5
Enc,False,64,64,2535,0.0504930966469428,243360,1901.25
Enc,False,1536,1536,52583,0.058421923435330814,5047968,1643.21875
Enc,False,long,long,544,0.058823529411764705,52224,1632.0
Dec,False,0,16,511,0.03131115459882583,49056,3066.0
Dec,False,0,32,663,0.048265460030165915,63648,1989.0
Dec,False,0,64,967,0.06618407445708377,92832,1450.5
Dec,False,0,1536,14951,0.10273560296970102,1435296,934.4375
Dec,False,0,long,152,0.10526315789473684,14592,912.0
Dec,False,16,0,752,0.02127659574468085,72192,4512.0
Dec,False,32,0,1144,0.027972027972027972,109824,3432.0
Dec,False,64,0,1928,0.03319502074688797,185088,2892.0
Dec,False,1536,0,37992,0.04042956411876184,3647232,2374.5
Dec,False,long,0,392,0.04081632653061224,37632,2352.0
Dec,False,16,16,903,0.035437430786267994,86688,2709.0
Dec,False,32,32,1447,0.0442294402211472,138912,2170.5
Dec,False,64,64,2535,0.0504930966469428,243360,1901.25
Dec,False,1536,1536,52583,0.058421923435330814,5047968,1643.21875
Dec,False,long,long,544,0.058823529411764705,52224,1632.0
