Op,Reuse Key,msgBytes,adBytes,Cycles,Throughput,fresh rand. bits,rand. bits per byte of data
Enc,False,0,16,511,0.03131115459882583,98112,6132.0
Enc,False,0,32,663,0.048265460030165915,127296,3978.0
Enc,False,0,64,967,0.06618407445708377,185664,2901.0
Enc,False,0,1536,14951,0.10273560296970102,2870592,1868.875
Enc,False,0,long,152,0.10526315789473684,29184,1824.0
Enc,False,16,0,752,0.02127659574468085,144384,9024.0
Enc,False,32,0,1144,0.027972027972027972,219648,6864.0
Enc,False,64,0,1928,0.03319502074688797,370176,5784.0
Enc,False,1536,0,37992,0.04042956411876184,7294464,4749.0
Enc,False,long,0,392,0.04081632653061224,75264,4704.0
Enc,False,16,16,903,0.035437430786267994,173376,5418.0
Enc,False,32,32,1447,0.0442294402211472,277824,4341.0
Enc,False,64,64,2535,0.0504930966469428,486720,3802.5
Enc,False,1536,1536,52583,0.058421923435330814,10095936,3286.4375
Enc,False,long,long,544,0.058823529411764705,104448,3264.0
Dec,False,0,16,511,0.03131115459882583,98112,6132.0
Dec,False,0,32,663,0.048265460030165915,127296,3978.0
Dec,False,0,64,967,0.06618407445708377,185664,2901.0
Dec,False,0,1536,14951,0.10273560296970102,2870592,1868.875
Dec,False,0,long,152,0.10526315789473684,29184,1824.0
Dec,False,16,0,752,0.02127659574468085,144384,9024.0
Dec,False,32,0,1144,0.027972027972027972,219648,6864.0
Dec,False,64,0,1928,0.03319502074688797,370176,5784.0
Dec,False,1536,0,37992,0.04042956411876184,7294464,4749.0
Dec,False,long,0,392,0.04081632653061224,75264,4704.0
Dec,False,16,16,903,0.035437430786267994,173376,5418.0
Dec,False,32,32,1447,0.0442294402211472,277824,4341.0
Dec,False,64,64,2535,0.0504930966469428,486720,3802.5
Dec,False,1536,1536,52583,0.058421923435330814,10095936,3286.4375
Dec,False,long,long,544,0.058823529411764705,104448,3264.0
