Op,Reuse Key,msgBytes,adBytes,Cycles,Throughput,fresh rand. bits,rand. bits per byte of data
Enc,False,0,16,175,0.091,62592,3912
Enc,False,0,64,237,0.27,86016,1344
Enc,False,0,80,241,0.332,87552,1094.4
Enc,False,0,1536,2255,0.681,848256,552.25
Enc,False,0,long,4,4,1536,96
Enc,False,16,0,176,0.091,62592,3912
Enc,False,64,0,288,0.222,105600,1650
Enc,False,80,0,342,0.234,126336,1579.2
Enc,False,1536,0,3706,0.414,1418112,923.25
Enc,False,long,0,54,0.296,20736,1296
Enc,False,16,16,179,0.179,64128,2004
Enc,False,64,64,353,0.363,130560,1020
Enc,False,80,80,411,0.389,152832,955.2
Enc,False,1536,1536,5789,0.531,2205312,717.875
Enc,False,long,long,58,0.552,22272,696
Dec,False,0,16,176,0.091,62592,3912
Dec,False,0,64,238,0.269,86016,1344
Dec,False,0,80,242,0.331,87552,1094.4
Dec,False,0,1536,2256,0.681,848256,552.25
Dec,False,0,long,4,4,1536,96
Dec,False,16,0,177,0.09,62592,3912
Dec,False,64,0,289,0.221,105600,1650
Dec,False,80,0,343,0.233,126336,1579.2
Dec,False,1536,0,3707,0.414,1418112,923.25
Dec,False,long,0,54,0.296,20736,1296
Dec,False,16,16,180,0.178,64128,2004
Dec,False,64,64,354,0.362,130560,1020
Dec,False,80,80,412,0.388,152832,955.2
Dec,False,1536,1536,5790,0.531,2205312,717.875
Dec,False,long,long,58,0.552,22272,696
Hash,False,16,0,118,0.136,40320,2520
Hash,False,64,0,280,0.229,102528,1602
Hash,False,80,0,334,0.24,123264,1540.8
Hash,False,1536,0,5248,0.293,2010240,1308.75
Hash,False,long,0,54,0.296,20736,1296
