Op,Reuse Key,msgBytes,adBytes,Cycles,Throughput,fresh rand. bits,rand. bits per byte of data
Enc,False,0,16,175,0.09142857142857143,201600,12600.0
Enc,False,0,64,237,0.270042194092827,273024,4266.0
Enc,False,0,176,365,0.4821917808219178,420480,2389.090909090909
Enc,False,0,352,609,0.5779967159277504,701568,1993.090909090909
Enc,False,0,1536,2255,0.6811529933481153,2597760,1691.25
Enc,False,0,long,244,0.7213114754098361,281088,1597.090909090909
Enc,False,16,0,176,0.09090909090909091,202752,12672.0
Enc,False,64,0,288,0.2222222222222222,331776,5184.0
Enc,False,96,0,346,0.2774566473988439,398592,4152.0
Enc,False,192,0,570,0.3368421052631579,656640,3420.0
Enc,False,1536,0,3706,0.41446303291958986,4269312,2779.5
Enc,False,long,0,224,0.42857142857142855,258048,2688.0
Enc,False,16,16,179,0.1787709497206704,206208,6444.0
Enc,False,64,64,353,0.3626062322946176,406656,3177.0
Enc,False,96,176,539,0.5046382189239332,620928,2282.823529411765
Enc,False,192,352,1007,0.5402184707050646,1160064,2132.470588235294
Enc,False,1536,1536,5789,0.5306615995854206,6668928,2170.875
Enc,False,long,long,468,0.5811965811965812,539136,1982.1176470588234
Dec,False,0,16,176,0.09090909090909091,202752,12672.0
Dec,False,0,64,238,0.2689075630252101,274176,4284.0
Dec,False,0,176,366,0.4808743169398907,421632,2395.6363636363635
Dec,False,0,352,610,0.5770491803278689,702720,1996.3636363636363
Dec,False,0,1536,2256,0.6808510638297872,2598912,1692.0
Dec,False,0,long,244,0.7213114754098361,281088,1597.090909090909
Dec,False,16,0,177,0.0903954802259887,203904,12744.0
Dec,False,64,0,289,0.22145328719723184,332928,5202.0
Dec,False,96,0,347,0.276657060518732,399744,4164.0
Dec,False,192,0,571,0.3362521891418564,657792,3426.0
Dec,False,1536,0,3707,0.4143512274076072,4270464,2780.25
Dec,False,long,0,224,0.42857142857142855,258048,2688.0
Dec,False,16,16,180,0.17777777777777778,207360,6480.0
Dec,False,64,64,354,0.3615819209039548,407808,3186.0
Dec,False,96,176,540,0.5037037037037037,622080,2287.0588235294117
Dec,False,192,352,1008,0.5396825396825397,1161216,2134.5882352941176
Dec,False,1536,1536,5790,0.5305699481865285,6670080,2171.25
Dec,False,long,long,468,0.5811965811965812,539136,1982.1176470588234
Hash,False,16,0,118,0.13559322033898305,135936,8496.0
Hash,False,64,0,280,0.22857142857142856,322560,5040.0
Hash,False,128,0,496,0.25806451612903225,571392,4464.0
Hash,False,1536,0,5248,0.2926829268292683,6045696,3936.0
Hash,False,long,0,216,0.2962962962962963,248832,3888.0
