Op,Reuse Key,msgBytes,adBytes,Cycles,Throughput,fresh rand. bits,rand. bits per byte of data
Enc,False,0,16,175,0.09142857142857143,375552,23472.0
Enc,False,0,64,237,0.270042194092827,516096,8064.0
Enc,False,0,176,365,0.4821917808219178,804096,4568.727272727273
Enc,False,0,352,609,0.5779967159277504,1357056,3855.2727272727275
Enc,False,0,1536,2255,0.6811529933481153,5089536,3313.5
Enc,False,0,long,244,0.7213114754098361,552960,3141.818181818182
Enc,False,16,0,176,0.09090909090909091,375552,23472.0
Enc,False,64,0,288,0.2222222222222222,633600,9900.0
Enc,False,96,0,346,0.2774566473988439,767232,7992.0
Enc,False,192,0,570,0.3368421052631579,1283328,6684.0
Enc,False,1536,0,3706,0.41446303291958986,8508672,5539.5
Enc,False,long,0,224,0.42857142857142855,516096,5376.0
Enc,False,16,16,179,0.1787709497206704,384768,12024.0
Enc,False,64,64,353,0.3626062322946176,783360,6120.0
Enc,False,96,176,539,0.5046382189239332,1204992,4430.117647058823
Enc,False,192,352,1007,0.5402184707050646,2274048,4180.235294117647
Enc,False,1536,1536,5789,0.5306615995854206,13231872,4307.25
Enc,False,long,long,468,0.5811965811965812,1069056,3930.3529411764707
Dec,False,0,16,176,0.09090909090909091,375552,23472.0
Dec,False,0,64,238,0.2689075630252101,516096,8064.0
Dec,False,0,176,366,0.4808743169398907,804096,4568.727272727273
Dec,False,0,352,610,0.5770491803278689,1357056,3855.2727272727275
Dec,False,0,1536,2256,0.6808510638297872,5089536,3313.5
Dec,False,0,long,244,0.7213114754098361,552960,3141.818181818182
Dec,False,16,0,177,0.0903954802259887,375552,23472.0
Dec,False,64,0,289,0.22145328719723184,633600,9900.0
Dec,False,96,0,347,0.276657060518732,767232,7992.0
Dec,False,192,0,571,0.3362521891418564,1283328,6684.0
Dec,False,1536,0,3707,0.4143512274076072,8508672,5539.5
Dec,False,long,0,224,0.42857142857142855,516096,5376.0
Dec,False,16,16,180,0.17777777777777778,384768,12024.0
Dec,False,64,64,354,0.3615819209039548,783360,6120.0
Dec,False,96,176,540,0.5037037037037037,1204992,4430.117647058823
Dec,False,192,352,1008,0.5396825396825397,2274048,4180.235294117647
Dec,False,1536,1536,5790,0.5305699481865285,13231872,4307.25
Dec,False,long,long,468,0.5811965811965812,1069056,3930.3529411764707
Hash,False,16,0,118,0.13559322033898305,241920,15120.0
Hash,False,64,0,280,0.22857142857142856,615168,9612.0
Hash,False,128,0,496,0.25806451612903225,1112832,8694.0
Hash,False,1536,0,5248,0.2926829268292683,12061440,7852.5
Hash,False,long,0,216,0.2962962962962963,497664,7776.0
